PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,27.0,68,56,12,0.824,33.2,121.0,121.5,121.5,104.2,105.2,105.2,16.9,16.3,16.3,0.332,2.97,20.6,0.017,0.1,0.062,6.9,6.9,0.597,0.665,0.323,0.333,102.51,101.84,84.86,101.84,0.207,4796,731,1321,10.8,19.4,0.553,135,7,152,15,33,24,26,26,38,57,57,14,20,20,26,71,195,488,369,411,81,81,113,56,9,9,247,287,287,6,2,8,2,7,83,1
203999,Nikola Jokić,Nikola,1610612743,DEN,31.0,65,43,22,0.662,34.8,125.0,126.1,126.1,114.7,115.3,115.3,10.3,10.8,10.8,0.458,2.87,30.6,0.089,0.27,0.185,10.7,10.6,0.618,0.67,0.289,0.296,103.31,102.59,85.49,102.59,0.213,4854,644,1132,9.9,17.4,0.569,166,75,279,119,13,9,8,8,392,402,402,44,48,48,3,78,43,82,9,18,353,354,76,47,26,26,179,223,223,3,9,24,6,19,78,1
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,64,50,14,0.781,29.2,120.0,120.5,120.5,103.7,103.6,103.6,16.3,17.0,17.0,0.17,1.28,12.2,0.071,0.285,0.186,9.5,9.5,0.569,0.626,0.316,0.326,102.36,102.23,85.19,102.23,0.209,3977,553,1080,8.6,16.9,0.512,180,32,175,30,107,26,31,31,35,41,41,16,17,17,183,435,471,126,4,15,256,254,180,111,10,10,262,255,255,5,21,31,17,25,135,1
1629029,Luka Dončić,Luka,1610612747,LAL,27.0,64,43,21,0.672,35.8,118.3,119.4,119.4,113.9,115.6,115.6,4.4,3.8,3.8,0.387,2.08,21.1,0.019,0.194,0.11,10.1,10.1,0.563,0.616,0.368,0.377,102.0,100.73,83.94,100.73,0.188,4804,693,1457,10.8,22.8,0.476,180,75,262,103,5,51,44,44,349,414,414,137,146,146,10,183,184,471,66,146,306,302,195,133,1,1,290,377,377,8,5,4,1,1,225,1
1630595,Cade Cunningham,Cade,1610612765,DET,24.0,64,47,17,0.734,33.9,117.9,120.4,120.4,107.6,109.0,109.0,10.3,11.4,11.4,0.43,2.69,28.6,0.025,0.132,0.079,10.7,10.6,0.513,0.564,0.296,0.302,102.68,100.94,84.12,100.94,0.159,4565,548,1189,8.6,18.6,0.461,180,44,216,60,21,61,32,32,92,127,127,43,44,44,6,100,61,411,232,283,355,347,395,334,20,21,236,362,362,18,22,19,18,13,274,1
1627759,Jaylen Brown,Jaylen,1610612738,BOS,29.0,71,47,24,0.662,34.4,116.8,119.5,119.5,111.4,113.0,113.0,5.4,6.5,6.5,0.251,1.41,15.2,0.032,0.155,0.095,10.8,10.8,0.522,0.573,0.351,0.358,99.58,97.73,81.44,97.73,0.152,4973,736,1543,10.4,21.7,0.477,98,44,309,118,18,84,43,43,226,292,292,112,88,88,80,399,367,335,149,206,374,372,363,296,3,5,447,541,541,25,1,1,3,2,220,1
202695,Kawhi Leonard,Kawhi,1610612746,LAC,35.0,65,37,28,0.569,32.1,119.0,120.3,120.3,110.5,112.8,112.8,8.4,7.5,7.5,0.193,1.76,13.1,0.036,0.162,0.102,7.4,7.4,0.573,0.629,0.326,0.333,99.07,97.53,81.28,97.53,0.185,4245,635,1258,9.8,19.4,0.505,166,136,364,220,49,40,35,35,186,276,276,61,76,76,149,281,436,298,132,171,106,106,164,103,8,8,474,549,549,9,10,10,8,8,147,1
1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,70,45,25,0.643,33.5,119.2,119.3,119.3,112.0,112.1,112.1,7.2,7.2,7.2,0.266,2.01,18.3,0.021,0.108,0.065,9.1,9.0,0.563,0.613,0.311,0.321,103.18,103.13,85.94,103.13,0.152,5035,678,1403,9.7,20.0,0.483,105,60,326,136,28,36,51,51,263,253,253,77,79,79,63,206,265,451,336,381,216,209,193,140,12,11,194,190,190,26,7,5,9,5,203,1
1628973,Jalen Brunson,Jalen,1610612752,NYK,29.0,74,50,24,0.676,35.0,118.6,120.2,120.2,112.8,114.1,114.1,5.7,6.1,6.1,0.307,2.87,21.7,0.012,0.083,0.047,7.5,7.5,0.533,0.58,0.296,0.304,99.46,98.25,81.87,98.25,0.135,5313,689,1475,9.3,19.9,0.467,70,32,309,101,11,47,37,37,301,347,347,103,98,98,37,76,166,538,471,519,114,114,320,259,19,20,457,512,512,59,6,3,10,6,258,1
201142,Kevin Durant,Kevin,1610612745,HOU,37.0,78,48,30,0.615,36.4,116.0,117.9,117.9,111.4,112.4,112.4,4.6,5.5,5.5,0.203,1.51,17.0,0.014,0.131,0.073,11.3,11.2,0.588,0.641,0.263,0.27,99.4,98.14,81.78,98.14,0.15,5816,716,1376,9.2,17.6,0.52,28,41,395,163,3,109,78,78,230,266,266,133,112,112,135,371,303,509,233,324,410,406,130,78,44,48,460,518,518,32,3,6,11,18,112,1
