PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,27.0,68,56,12,0.824,33.2,105.2,3.7,0.1,0.155,1.4,0.207,0.8,0.182,9.1,10.6,7.7,27.9,0.179,0.1794884799289035,135,7,152,15,33,57,132,369,377,41,239,83,240,384,555,388,434,2
203999,Nikola Jokić,Nikola,1610612743,DEN,31.0,65,43,22,0.662,34.8,115.3,9.9,0.27,0.4,1.4,0.271,0.8,0.299,12.5,9.1,11.3,36.5,0.088,0.08775651113467481,166,75,279,119,13,402,1,9,11,37,93,73,126,557,478,554,556,120
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,64,50,14,0.781,29.2,103.6,9.5,0.285,0.415,1.0,0.225,3.1,0.701,9.1,7.6,7.5,23.6,0.171,0.17118278438743453,180,32,175,30,107,41,3,4,6,113,181,1,4,383,374,372,350,4
1629029,Luka Dončić,Luka,1610612747,LAL,27.0,64,43,21,0.672,35.8,115.6,7.1,0.194,0.292,1.6,0.267,0.5,0.174,13.4,10.4,11.5,38.3,0.086,0.08591748379520935,180,75,262,103,5,414,14,66,79,15,100,143,249,569,545,556,568,127
1630595,Cade Cunningham,Cade,1610612765,DET,24.0,64,47,17,0.734,33.9,109.0,4.7,0.132,0.199,1.4,0.208,0.8,0.201,11.1,10.1,9.2,29.7,0.146,0.1456417310535498,180,44,216,60,21,127,71,232,244,32,238,65,223,499,534,470,458,8
1627759,Jaylen Brown,Jaylen,1610612738,BOS,29.0,71,47,24,0.662,34.4,113.0,5.8,0.155,0.232,1.0,0.198,0.4,0.103,10.8,10.7,10.0,29.4,0.109,0.10913075041811152,98,44,309,118,18,292,29,149,166,119,273,225,382,490,556,508,454,60
202695,Kawhi Leonard,Kawhi,1610612746,LAC,35.0,65,37,28,0.569,32.1,112.8,5.3,0.162,0.251,1.9,0.3,0.4,0.124,11.0,9.7,8.7,32.7,0.102,0.10183112931592575,166,136,364,220,49,276,46,132,138,9,59,193,341,495,514,441,513,79
1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,70,45,25,0.643,33.5,112.1,3.8,0.108,0.165,1.5,0.249,0.3,0.092,11.6,9.9,10.8,31.3,0.116,0.11573865714615261,105,60,326,136,28,253,129,336,346,29,136,287,410,521,524,546,491,42
1628973,Jalen Brunson,Jalen,1610612752,NYK,29.0,74,50,24,0.676,35.0,114.1,2.9,0.083,0.124,0.8,0.133,0.1,0.039,11.6,9.3,10.0,32.4,0.099,0.0985975554952592,70,32,309,101,11,347,212,471,488,221,481,457,507,524,490,506,508,90
201142,Kevin Durant,Kevin,1610612745,HOU,37.0,78,48,30,0.615,36.4,112.4,4.9,0.131,0.198,0.8,0.128,0.9,0.205,14.6,11.3,11.7,37.5,0.12,0.1203945534529405,28,41,395,163,3,266,58,233,250,215,493,59,219,577,567,566,563,33
