PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,TEAM_COUNT
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,27.0,68,56,12,0.824,33.2,0.774,0.226,0.582,0.184,0.163,0.097,0.255,0.152,0.398,0.183,0.817,0.27,0.73,0.197,0.803,731,1321,0.553,135,7,152,15,33,110,473,177,16,448,392,51,296,326,564,11,515,2,574,4,2,8,83,1
203999,Nikola Jokić,Nikola,1610612743,DEN,31.0,65,43,22,0.662,34.8,0.739,0.261,0.591,0.073,0.187,0.032,0.222,0.094,0.518,0.564,0.436,0.804,0.196,0.606,0.394,644,1132,0.569,166,75,279,119,13,124,459,160,145,442,533,85,523,199,318,257,408,108,405,173,9,24,78,1
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,64,50,14,0.781,29.2,0.676,0.324,0.539,0.095,0.229,0.096,0.232,0.123,0.444,0.647,0.353,0.893,0.107,0.702,0.298,553,1080,0.512,180,32,175,30,107,163,420,230,99,416,396,73,440,275,237,338,333,184,282,296,21,31,135,1
1629029,Luka Dončić,Luka,1610612747,LAL,27.0,64,43,21,0.672,35.8,0.524,0.476,0.41,0.097,0.356,0.088,0.234,0.133,0.313,0.219,0.781,0.382,0.618,0.278,0.722,693,1457,0.476,180,75,262,103,5,336,247,390,96,292,420,69,405,431,558,17,514,3,568,10,5,4,225,1
1630595,Cade Cunningham,Cade,1610612765,DET,24.0,64,47,17,0.734,33.9,0.692,0.308,0.553,0.115,0.245,0.144,0.202,0.178,0.438,0.291,0.709,0.488,0.512,0.336,0.664,548,1189,0.461,180,44,216,60,21,153,430,222,64,399,234,117,181,281,534,41,511,6,557,21,22,19,274,1
1627759,Jaylen Brown,Jaylen,1610612738,BOS,29.0,71,47,24,0.662,34.4,0.738,0.262,0.585,0.148,0.206,0.124,0.209,0.137,0.437,0.324,0.676,0.536,0.464,0.364,0.636,736,1543,0.477,98,44,309,118,18,125,458,171,38,432,308,102,382,283,516,59,506,11,552,26,1,1,220,1
202695,Kawhi Leonard,Kawhi,1610612746,LAC,35.0,65,37,28,0.569,32.1,0.646,0.354,0.511,0.132,0.285,0.171,0.204,0.183,0.378,0.33,0.67,0.57,0.43,0.395,0.605,635,1258,0.505,166,136,364,220,49,196,387,263,47,367,167,112,169,343,512,63,498,19,546,32,10,10,147,1
1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,70,45,25,0.643,33.5,0.561,0.439,0.465,0.086,0.344,0.14,0.191,0.157,0.379,0.275,0.725,0.607,0.393,0.385,0.615,678,1403,0.483,105,60,326,136,28,286,297,325,120,303,251,147,278,342,539,36,495,22,549,29,7,5,203,1
1628973,Jalen Brunson,Jalen,1610612752,NYK,29.0,74,50,24,0.676,35.0,0.642,0.358,0.513,0.163,0.304,0.094,0.183,0.131,0.35,0.213,0.787,0.559,0.441,0.311,0.689,689,1475,0.467,70,32,309,101,11,204,379,261,26,347,404,169,411,374,561,14,502,15,566,12,6,3,258,1
201142,Kevin Durant,Kevin,1610612745,HOU,37.0,78,48,30,0.615,36.4,0.673,0.327,0.523,0.199,0.275,0.102,0.202,0.136,0.324,0.472,0.528,0.731,0.269,0.539,0.461,716,1376,0.52,28,41,395,163,3,166,417,251,13,374,376,122,387,417,419,156,449,68,464,114,3,6,112,1
