PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,FP_HIGH_SCORE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,FP_HIGH_SCORE_RANK,TEAM_COUNT
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,27.0,68,56,12,0.824,33.2,10.8,19.4,0.553,1.7,4.4,0.386,7.9,9.0,0.879,0.6,3.7,4.3,6.6,2.2,1.4,0.8,0.8,2.0,6.1,31.1,11.6,50.4,8,0,48.0,55.1,135,7,419,15,33,2,7,83,131,148,134,1,4,82,355,132,177,21,68,41,83,48,193,8,2,2,4,66,38,4,4,1
203999,Nikola Jokić,Nikola,1610612743,DEN,31.0,65,43,22,0.662,34.8,9.9,17.4,0.569,1.7,4.5,0.38,6.1,7.4,0.831,3.0,9.9,12.9,10.7,3.7,1.4,0.8,0.8,2.7,6.7,27.7,8.5,62.1,55,34,57.4,68.7,166,75,295,119,13,6,19,78,125,137,156,12,12,168,24,1,1,1,3,37,73,58,52,4,8,8,1,2,1,2,1,1
1641705,Victor Wembanyama,Victor,1610612759,SAS,22.0,64,50,14,0.781,29.2,8.6,16.9,0.512,1.9,5.5,0.349,5.8,7.0,0.827,2.0,9.5,11.5,3.1,2.4,1.0,3.1,0.5,2.4,6.3,25.0,10.7,53.4,42,1,49.7,55.0,180,32,397,30,107,17,25,135,100,87,261,14,15,181,61,3,4,132,51,113,1,169,92,7,17,3,3,4,23,3,5,1
1629029,Luka Dončić,Luka,1610612747,LAL,27.0,64,43,21,0.672,35.8,10.8,22.8,0.476,4.0,10.8,0.366,7.9,10.1,0.78,0.6,7.1,7.7,8.3,4.0,1.6,0.5,0.4,2.4,7.3,33.5,2.9,57.7,34,8,57.8,64.3,180,75,305,103,5,1,1,225,2,2,201,2,1,280,330,14,36,4,1,15,143,218,96,2,1,88,2,9,4,1,2,1
1630595,Cade Cunningham,Cade,1610612765,DET,24.0,64,47,17,0.734,33.9,8.6,18.6,0.461,2.0,5.7,0.342,4.8,6.0,0.812,0.9,4.7,5.5,9.9,3.7,1.4,0.8,1.1,3.1,4.6,23.9,8.1,48.6,38,3,45.9,56.1,180,44,359,60,21,18,13,274,94,78,283,27,26,211,235,71,99,2,4,32,65,18,27,23,21,9,7,6,8,7,3,1
1627759,Jaylen Brown,Jaylen,1610612738,BOS,29.0,71,47,24,0.662,34.4,10.4,21.7,0.477,2.0,5.7,0.347,6.0,7.5,0.795,1.1,5.8,6.9,5.1,3.6,1.0,0.4,1.3,2.7,6.3,28.7,4.5,45.2,14,3,45.5,50.1,98,44,258,118,18,3,2,220,90,79,269,13,9,240,160,29,53,50,5,119,225,4,48,6,4,52,10,38,8,9,9,1
202695,Kawhi Leonard,Kawhi,1610612746,LAC,35.0,65,37,28,0.569,32.1,9.8,19.4,0.505,2.6,6.8,0.387,5.7,6.4,0.892,1.1,5.3,6.4,3.6,2.0,1.9,0.4,0.5,1.2,5.1,27.9,5.2,45.7,5,0,45.1,48.3,166,136,205,220,49,8,8,147,37,36,131,16,18,69,174,46,69,99,78,9,193,162,421,19,6,40,9,96,38,11,14,1
1628378,Donovan Mitchell,Donovan,1610612739,CLE,29.0,70,45,25,0.643,33.5,9.7,20.0,0.483,3.2,8.8,0.364,5.3,6.1,0.865,0.7,3.8,4.5,5.7,2.8,1.5,0.3,0.7,2.3,4.6,27.9,5.3,44.3,5,0,44.8,49.1,105,60,246,136,28,9,5,203,10,8,203,21,22,106,310,129,166,33,27,29,287,95,111,27,7,39,12,96,38,12,10,1
1628973,Jalen Brunson,Jalen,1610612752,NYK,29.0,74,50,24,0.676,35.0,9.3,19.9,0.467,2.6,7.1,0.369,4.8,5.7,0.841,0.4,2.9,3.3,6.8,2.4,0.8,0.1,0.7,2.3,5.1,26.0,4.8,40.5,12,0,40.6,45.6,70,32,258,101,11,10,6,258,39,26,189,29,31,147,421,212,263,16,54,221,457,94,118,17,14,45,27,47,38,21,23,1
201142,Kevin Durant,Kevin,1610612745,HOU,37.0,78,48,30,0.615,36.4,9.2,17.6,0.52,2.4,5.8,0.413,5.2,6.0,0.874,0.5,4.9,5.5,4.8,3.2,0.8,0.9,0.5,1.8,4.8,26.0,4.4,41.6,7,0,42.0,46.1,28,41,172,163,3,11,18,112,54,76,64,24,25,93,373,58,105,57,15,215,59,161,257,21,15,54,21,72,38,19,21,1
