season,category,rank,player,slug,headshot_id,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
2025,field-goals,1,Ka'imi Fairbairn,ka-imi-fairbairn,nbrs7doetqydf2rzhjjl,44,48,91.7,0/0,8/8,11/11,16/16,9/13,0/0,57,1
2025,field-goals,2,Jason Myers,jason-myers,zcd7q9loflr0t5bsvzig,41,48,85.4,0/0,5/6,14/15,13/15,9/11,0/1,57,1
2025,field-goals,3,Cameron Dicker,cameron-dicker,fvkop13kntnwv3amucpf,38,41,92.7,0/0,7/7,14/15,12/13,5/6,0/0,59,0
2025,field-goals,4,Brandon Aubrey,brandon-aubrey,bgwg06zmyohjxvzznbf6,36,42,85.7,0/0,10/10,5/5,10/10,8/13,3/4,64,0
2025,field-goals,5,Harrison Butker,harrison-butker,yphf8avl8ji0ncdohabz,33,38,86.8,1/1,9/9,9/9,9/11,5/8,0/0,59,0
2025,field-goals,6,Will Reichard,will-reichard,wv1h4umuddkfss96uutw,33,35,94.3,0/0,6/6,9/9,7/7,10/12,1/1,62,0
2025,field-goals,7,Chase McLaughlin,chase-mclaughlin,enkzsuyzk232mbq5oe4w,32,38,84.2,0/0,6/6,9/11,6/9,10/11,1/1,65,3
2025,field-goals,8,Cam Little,cam-little,mc9goepr7mglrx6ek1fi,30,34,88.2,0/0,5/5,9/9,8/10,6/8,2/2,68,0
2025,field-goals,9,Tyler Loop,tyler-loop,kbwixtntqevptepedhll,30,34,88.2,0/0,10/10,11/11,8/9,1/4,0/0,52,0
2025,field-goals,10,Blake Grupe,blake-grupe,de3vz6xjjo9paba6encd,29,37,78.4,0/0,9/9,10/12,3/6,6/9,1/1,60,0
2025,field-goals,11,Nick Folk,nick-folk,qf6vaghxuoxqw0pyrvg3,28,29,96.6,0/0,5/5,9/9,7/7,7/8,0/0,58,0
2025,field-goals,12,Wil Lutz,wil-lutz,vcglg5vsgbiyggwibgy0,28,32,87.5,0/0,10/10,11/11,3/5,4/6,0/0,57,1
2025,field-goals,13,Eddy Pineiro,eddy-pineiro,v3vtl2t4dfzkueanjfwc,28,29,96.6,0/0,5/5,7/7,10/10,6/6,0/1,59,0
2025,field-goals,14,Joey Slye,joey-slye,qyugyvvddildncveryob,28,35,80,0/0,6/6,6/6,7/9,9/12,0/2,58,1
2025,field-goals,15,Jake Bates,jake-bates,umhfee7ax7r8gjdt8okb,27,34,79.4,0/0,6/6,8/8,9/11,4/8,0/1,59,2
2025,field-goals,16,Andy Borregales,andres-borregales,x2fxn5qf6zkgmvedjpys,27,32,84.4,2/2,6/6,8/9,7/11,4/4,0/0,59,1
2025,field-goals,17,Chris Boswell,chris-boswell,rxbnhvnfjmheuryvdmuf,27,32,84.4,0/0,6/6,2/4,10/11,8/10,1/1,60,1
2025,field-goals,18,Riley Patterson,riley-patterson,xjg7x98iyq5hlgjc62ot,27,29,93.1,0/0,5/5,8/9,11/11,3/4,0/0,54,0
2025,field-goals,19,Evan McPherson,evan-mcpherson,t6fs7i54i4n7xjiayoz0,25,28,89.3,0/0,4/4,6/6,10/10,4/6,1/2,63,0
2025,field-goals,20,Chad Ryland,chad-ryland,gbfzwbzdl9wj582nh5g9,25,33,75.8,0/0,5/5,7/8,7/10,6/9,0/1,57,1
2025,field-goals,21,Cairo Santos,cairo-santos,tz5ecjri52gwpoo9s7be,25,30,83.3,0/0,3/3,8/9,10/12,4/6,0/0,54,1
2025,field-goals,22,Ryan Fitzgerald,ryan-fitzgerald,giy8qnq6njxzwtqvqdsm,24,29,82.8,0/0,6/6,8/9,8/9,2/5,0/0,57,1
2025,field-goals,23,Brandon McManus,brandon-mcmanus,qvwi9b1vfkn0wlmdl7ej,24,30,80,0/0,10/10,8/8,3/7,3/4,0/1,56,1
2025,field-goals,24,Andre Szmyt,andre-szmyt,tkah6glpysuyq2a54gts,24,27,88.9,0/0,4/4,10/11,5/6,5/6,0/0,55,0
2025,field-goals,25,Daniel Carlson,daniel-carlson,gsvj7rtvqwbwdeho8whf,22,27,81.5,0/0,5/5,6/6,6/8,4/7,1/1,60,1
2025,field-goals,26,Jake Elliott,jake-elliott,gxy1mhbnz1p2nufkg8qz,20,27,74.1,0/0,3/3,6/6,7/10,4/8,0/0,58,0
2025,field-goals,27,Zane Gonzalez,zane-gonzalez,hrbmt2hunsrov39rqjzj,19,22,86.4,0/0,1/1,3/4,8/8,7/9,0/0,56,2
2025,field-goals,28,Jake Moody,jake-moody,apt7uakuwoxlpsjp5lp5,19,23,82.6,0/0,5/7,7/8,5/6,2/2,0/0,56,2
2025,field-goals,29,Matt Prater,matt-prater,pj981bi535y4jwy6skr1,18,20,90,0/0,4/4,7/8,6/6,1/2,0/0,52,0
2025,field-goals,30,Matt Gay,matt-gay,opglxpqmhu21eydoyvg2,17,23,73.9,0/0,4/4,3/4,6/6,4/9,0/0,56,0
2025,field-goals,31,Spencer Shrader,spencer-shrader,upbporhm1frqfpgalfrk,13,14,92.9,0/0,5/5,5/5,2/2,1/2,0/0,52,0
2025,field-goals,32,Harrison Mevis,harrison-mevis,yjmtai1e4eqbsw2yk6mh,12,13,92.3,0/0,3/3,3/3,5/6,1/1,0/0,52,0
2025,field-goals,33,Charlie Smyth,charlie-smyth,yv9x4ywdfecxioletyol,12,16,75,0/0,1/1,4/4,3/5,4/5,0/1,57,0
2025,field-goals,34,Mike Badgley,mike-badgley,vws2nawkkxxb8s82ny1s,11,12,91.7,0/0,1/1,3/3,5/5,2/3,0/0,53,0
2025,field-goals,35,John Parker Romo,john-parker-romo,pgbqca2tf4hcq4vxv13m,11,14,78.6,0/0,2/2,7/8,1/2,1/2,0/0,54,1
