season,category,rank,player,slug,headshot_id,FF,FR,FR TD
2025,fumbles,1,Joey Bosa,joey-bosa,soo7a4n5mxia4iky4so8,5,0,0
2025,fumbles,2,Aidan Hutchinson,aidan-hutchinson,gmeczjok2lmjftb6mfof,4,1,0
2025,fumbles,3,Nate Landman,nate-landman,w44rpubxjijvxv0pkfnh,4,2,0
2025,fumbles,4,Khalil Mack,khalil-mack,t9j95jylmjpevgbkvmqn,4,0,0
2025,fumbles,5,Josh Sweat,josh-sweat,mfeq6gxl0uurxjsqdbos,4,1,0
2025,fumbles,6,Dallas Turner,dallas-turner,k9buimhpd1q6la5pdxs3,4,0,0
2025,fumbles,7,Eric Wilson,eric-wilson,xp5tifhe6rxrdz4rsm2f,4,0,0
2025,fumbles,8,Will Anderson Jr.,will-anderson-jr,ar9k2r2btzzb10zc0xja,3,2,1
2025,fumbles,9,Dane Belton,dane-belton,iiss6ltg2ajuabrisoqw,3,0,0
2025,fumbles,10,Brian Burns,brian-burns,glmrmpqkmsc0jiyicmlg,3,1,0
2025,fumbles,11,Jack Campbell,jack-campbell-3,gxyqaufhu1wgnomrm8ic,3,2,0
2025,fumbles,12,Myles Garrett,myles-garrett,y2d1lvpgfarfv76hjcqm,3,0,0
2025,fumbles,13,Nick Herbig,nick-herbig,ox9fpvzppbe9uyqvnp2q,3,1,1
2025,fumbles,14,Danielle Hunter,danielle-hunter,l4qdgo10becu0f3zgmyj,3,1,0
2025,fumbles,15,DeMarcus Lawrence,demarcus-lawrence,yo0w88bzr0s9qrnmadeq,3,3,2
2025,fumbles,16,Jeffery Simmons,jeffery-simmons,lt545qfibz7n9jlqyqov,3,0,0
2025,fumbles,17,Montez Sweat,montez-sweat,lmaq9dyixaolzxleqb5e,3,1,0
2025,fumbles,18,Jared Verse,jared-verse,cpa5qqc59ndeg6timqmf,3,0,0
2025,fumbles,19,T.J. Watt,t-j-watt,aywegy4gpj1d32vrl67u,3,2,0
2025,fumbles,20,Quinnen Williams,quinnen-williams,lijqxjhytjakehnusgmn,3,0,0
2025,fumbles,21,Jerome Baker,jerome-baker,wdo4k5bdufnhhu8izyj4,2,0,0
2025,fumbles,22,Jordan Battle,jordan-battle,iydwxwxig8e2godjx070,2,0,0
2025,fumbles,23,Yahya Black,yahya-black,ndy8wevnmpdrin3espb5,2,1,0
2025,fumbles,24,Nik Bonitto,nik-bonitto,azxinmsmz9kacbwfdfex,2,0,0
2025,fumbles,25,Nick Bosa,nick-bosa,c7grjmvod7lnrfz4ordx,2,1,0
2025,fumbles,26,Devin Bush,devin-bush,yn9buon12abtkbrm9cqm,2,1,0
2025,fumbles,27,Tyson Campbell,tyson-campbell,qhtmkkoqakioplm2vfrw,2,0,0
2025,fumbles,28,Abdul Carter,abdul-carter,tfchuu4khsh6jarotqga,2,1,0
2025,fumbles,29,K'Lavon Chaisson,k-lavon-chaisson,gc9qqj4piwlwse4spobk,2,1,1
2025,fumbles,30,Jeremy Chinn,jeremy-chinn,qdvollzto5i4xs6q9gov,2,0,0
2025,fumbles,31,Bradley Chubb,bradley-chubb,k65yb752vk1uq7sweetl,2,1,0
2025,fumbles,32,Alfred Collins,alfred-collins,m3gpcjsylxoysk9m9n7w,2,2,0
2025,fumbles,33,Chamarri Conner,chamarri-conner,fzzbwoogfbowestdz7gz,2,0,0
2025,fumbles,34,Edgerrin Cooper,edgerrin-cooper,acedii0jqmzxqm5lqtn8,2,1,0
2025,fumbles,35,Maxx Crosby,maxx-crosby-x6606,r9gqe3lrjstj55ydljhk,2,0,0
2025,fumbles,36,Lavonte David,lavonte-david,gicyoxodiwdzvybrzddk,2,2,0
2025,fumbles,37,Demario Davis,demario-davis,xfig8nml2gmofychoe3z,2,1,0
2025,fumbles,38,Jamel Dean,jamel-dean,i14xz1t5kffhey7aas39,2,0,0
2025,fumbles,39,Nakobe Dean,nakobe-dean,cyowdu41yhyzblsz2aam,2,0,0
2025,fumbles,40,Grant Delpit,grant-delpit,p1pfbn04h6myuuvvgvgr,2,2,0
2025,fumbles,41,Kyle Hamilton,kyle-hamilton,cshtattblpge9ngjve9a,2,0,0
2025,fumbles,42,Zach Harrison,zach-harrison,jph76ryj7fn3yqi5c2yg,2,0,0
2025,fumbles,43,Bryce Huff,bryce-huff,pminx3vvyt9laihkxk55,2,0,0
2025,fumbles,44,Marlon Humphrey,marlon-humphrey,zru6ellib9fzob6zq5c3,2,1,0
2025,fumbles,45,Jalyx Hunt,jalyx-hunt,uymi2mf5vbfkxopurlby,2,1,0
2025,fumbles,46,John Jenkins,john-jenkins,l2na4hvtcq7nfp7svxar,2,1,0
2025,fumbles,47,Jack Jones,jack-jones-2,ah12ltwvgwl9few2ktqj,2,0,0
2025,fumbles,48,Cameron Jordan,cameron-jordan,eauqz3xbdtl0wfoy71da,2,1,0
2025,fumbles,49,Tyrice Knight,tyrice-knight,xqi0rvphhoj5tca0wod2,2,0,0
2025,fumbles,50,Cam Lewis,cam-lewis,daximpzohtbyuaxvak82,2,0,0
2025,fumbles,51,Frankie Luvu,frankie-luvu,a42s7i0njohztuhxz13p,2,0,0
2025,fumbles,52,Ja'Quan McMillian,ja-quan-mcmillian,kpgabuesfqci0swbrkem,2,0,0
2025,fumbles,53,Ventrell Miller,ventrell-miller,gmxgq1mjnbdjjpcggamn,2,0,0
2025,fumbles,54,Kenny Moore II,kenny-moore,ji3hdoi86xonnhxlr6gl,2,0,0
2025,fumbles,55,Anthony Nelson,anthony-nelson,b6hjuuemwgsh8q7lmadz,2,0,0
2025,fumbles,56,Foye Oluokun,foye-oluokun,ldsewkhf1k2uxwcud0bj,2,1,0
2025,fumbles,57,Joseph Ossai,joseph-ossai,ornl2j2dyfvtma6eiozd,2,0,0
2025,fumbles,58,Micah Parsons,micah-parsons,euivq1hqslszdxjo9xyr,2,0,0
2025,fumbles,59,Amik Robertson,amik-robertson,giptmuhxwq2ugaaettbg,2,0,0
2025,fumbles,60,Isaiah Rodgers,isaiah-rodgers,ukadn9uyrajapqo6gxuj,2,1,1
2025,fumbles,61,Tyrique Stevenson,tyrique-stevenson,l0xpg0hpxsepfootn0sq,2,1,0
2025,fumbles,62,A.J. Terrell,a-j-terrell,plww5syeocezywkpgpmg,2,0,0
2025,fumbles,63,Tuli Tuipulotu,tuli-tuipulotu,u2qqrqzzi3yawzxmbrxs,2,1,0
2025,fumbles,64,DJ Turner II,dj-turner-2,nijmaqsa0uggtjzmpzgy,2,1,0
2025,fumbles,65,Jalon Walker,jalon-walker,mmtinfxaeg8afpuwwudm,2,1,0
2025,fumbles,66,Fred Warner,fred-warner,zmse3qgt0x2mqiuiuiu7,2,1,0
2025,fumbles,67,Tyree Wilson,tyree-wilson,ildmh1dcqbamtixdpgse,2,1,0
2025,fumbles,68,Nahshon Wright,nahshon-wright,pma5y3ixotctzzyqxygd,2,2,0
2025,fumbles,69,Chase Young,chase-young,ueic3ypcpfldmbymzhrc,2,2,1
2025,fumbles,70,Jamal Adams,jamal-adams,plodzh6kwjvhpo2mf3ie,1,0,0
2025,fumbles,71,LeQuint Allen Jr.,lequint-allen,i0utigksuuvo2njb9wtk,1,1,0
2025,fumbles,72,Azeez Al-Shaair,azeez-al-shaair,s03mktbhybon2whnvytl,1,1,0
2025,fumbles,73,Arik Armstead,arik-armstead,z6e5xcslnlyaz2egeke3,1,0,0
2025,fumbles,74,Denico Autry,denico-autry,avrrswmjrzes0ggi3bsg,1,0,0
2025,fumbles,75,Jeffrey Bassa,jeffrey-bassa,tckcuuegqdkzkglz6ywg,1,0,0
2025,fumbles,76,Jessie Bates,jessie-bates,eego6d6svadhqg1dyacg,1,0,0
2025,fumbles,77,Zack Baun,zack-baun,dhostt4bqph1utq56oxc,1,1,0
2025,fumbles,78,Markquese Bell,markquese-bell,wdantov1g2bbtjf4chpx,1,0,0
2025,fumbles,79,Nick Bellore,nick-lalonde-bellore,u6p0owe2rw7ez4tu7bva,1,0,0
2025,fumbles,80,Keeanu Benton,keeanu-benton,gmc2bdwzpvi0bkklmpjw,1,0,0
2025,fumbles,81,Reed Blankenship,reed-blankenship,qbrxcx1jmwabwtdwco3o,1,1,0
2025,fumbles,82,Nick Bolton,nick-bolton,pgkezol12laags229maz,1,0,0
2025,fumbles,83,Austin Booker,austin-booker,s5th0pr4mxfyrdrnlm79,1,0,0
2025,fumbles,84,Thomas Booker,thomas-booker,awrlnfwnvv3ehlnbe4cp,1,1,0
2025,fumbles,85,Billy Bowman Jr.,billy-bowman-jr,mbkdinv8urtidys4hfwe,1,0,0
2025,fumbles,86,Brian Branch,brian-branch,zcri8hzscyasi2nhjdlk,1,1,0
2025,fumbles,87,Bryan Bresee,bryan-bresee,ggluxdivvc7bhfhpfrsl,1,0,0
2025,fumbles,88,Jowon Briggs,jowon-briggs,wbqozrnxtjjuf3nwv760,1,0,0
2025,fumbles,89,Jordyn Brooks,jordyn-brooks,mgg8dnwaoqrzpgmzyah7,1,1,0
2025,fumbles,90,Derrick Brown,derrick-brown,xgaxvkpcxh41dyttf3sb,1,0,0
2025,fumbles,91,Ji'Ayir Brown,ji-ayir-brown,gmgewszcsvxdb63dmqby,1,0,0
2025,fumbles,92,Jarvis Brownlee Jr.,jarvis-brownlee-jr,u9vm18mpoxmzhukikjy2,1,0,0
2025,fumbles,93,Coby Bryant,coby-bryant,kfojqisbt4anuiecraw5,1,0,0
2025,fumbles,94,Teddye Buchanan,teddye-buchanan,ktowwliocunqxlxfznev,1,0,0
2025,fumbles,95,Calen Bullock,calen-bullock,dp7ntdi5yxyhikjjsojs,1,0,0
2025,fumbles,96,Oren Burks,oren-burks,uicl91cysjtnfqev9mjt,1,1,0
2025,fumbles,97,Camryn Bynum,camryn-bynum,rncq5z5bfhigx2atid7k,1,1,0
2025,fumbles,98,Jamaree Caldwell,jamaree-caldwell,o6zilnte5jibvs84wshv,1,0,0
2025,fumbles,99,Jihaad Campbell,jihaad-campbell,njvl2eabvfekcqqa4jmq,1,1,0
2025,fumbles,100,Zachary Carter,zachary-carter-x9168,qvq8wnz7ssbxxuxxo9mn,1,0,0
2025,fumbles,101,Blake Cashman,blake-cashman,mvui8tjkoewkupyncbok,1,0,0
2025,fumbles,102,Alijah Clark,alijah-clark,sr5sjigohu5fufu4yxm7,1,0,0
2025,fumbles,103,Chuck Clark,chuck-clark,zysqspeckaavbcyduzmz,1,0,0
2025,fumbles,104,Kei'Trel Clark,kei-trel-clark,mcmz4ef4fvvoqapbf8rf,1,0,0
2025,fumbles,105,Jadeveon Clowney,jadeveon-clowney,iururnv6x8iuzepggwvt,1,2,0
2025,fumbles,106,Branson Combs,branson-combs,u60bto6dll3fjewspobu,1,0,0
2025,fumbles,107,Brenton Cox Jr.,brenton-cox,gip2rjldcyryxybsioer,1,0,0
2025,fumbles,108,Nick Cross,nick-cross,kk6rwopeqnomepo0lc9f,1,0,0
2025,fumbles,109,Kam Curl,kamren-curl,b57yoekpyop58abtiilz,1,0,0
2025,fumbles,110,Sam Darnold,sam-darnold,fyay8vruj0cqmhopufzk,1,0,0
2025,fumbles,111,Ashtyn Davis,ashtyn-davis,e0ppdz8rxegnsmgkj31q,1,0,0
2025,fumbles,112,Jalen Davis,jalen-davis,lspbj6tc3afry1certf6,1,0,0
2025,fumbles,113,Akeem Davis-Gaither,akeem-davis-gaither,cxiu4fzpikl8lhpvooza,1,1,0
2025,fumbles,114,Cooper DeJean,cooper-dejean,aifrssmqxtoiydq9r1uo,1,0,0
2025,fumbles,115,Mohamoud Diabate,mohamoud-diabate,to8prswizs9iqvpqqbay,1,1,0
2025,fumbles,116,Yaya Diaby,yaya-diaby,bwd4lm9x9djpggqdyyhr,1,0,0
2025,fumbles,117,Tyrel Dodson,tyrel-dodson,ssfyc6yarlegh112xeoa,1,1,0
2025,fumbles,118,Rasul Douglas,rasul-douglas,f2ac9dmdbhc6rvgllcbt,1,0,0
2025,fumbles,119,Ethan Downs,ethan-downs,somszafluhppwnnplu8i,1,0,0
2025,fumbles,120,Troy Dye,troy-dye,gfdhupqzscbwdyhvowq4,1,1,0
2025,fumbles,121,Brandin Echols,brandin-echols,igkzt4tpxbb3lfcbfnzw,1,1,0
2025,fumbles,122,DeShon Elliott,deshon-elliott,hf9qrjvja3ej77feihts,1,0,0
2025,fumbles,123,Christian Elliss,christian-elliss,yprcwubcfyocxn2pwpf8,1,0,0
2025,fumbles,124,Jonah Elliss,jonah-elliss,f3dukr2ntse8qnsyhu3b,1,0,0
2025,fumbles,125,Kaden Elliss,kaden-elliss,lndj0awmhdulawkcjgua,1,0,0
2025,fumbles,126,Donovan Ezeiruaku,donovan-ezeiruaku,e8ajbchys6mqj7agkqxf,1,0,0
2025,fumbles,127,Minkah Fitzpatrick,minkah-fitzpatrick,z733r4dwebhrqeeihy0e,1,2,0
2025,fumbles,128,Cordale Flott,cordale-flott,dk8b5dpa5fflut1j4ynl,1,0,0
2025,fumbles,129,Emmanuel Forbes,emmanuel-forbes,zuqfigu7eadzoeo0uymt,1,0,0
2025,fumbles,130,Dee Alford,deaundre-ford,mgi0d5fd1huslr3kfqg1,1,1,0
2025,fumbles,131,Zaire Franklin,zaire-franklin,k59qf7qnigqhlxw2652h,1,0,0
2025,fumbles,132,Hjalte Froholdt,hjalte-froholdt,ylkuycgg5mlekrd0e7uy,1,0,0
2025,fumbles,133,Kenny Gainwell,kenneth-gainwell,eo62l8ec8e3lzt86ihth,1,0,0
2025,fumbles,134,Dennis Gardeck,dennis-gardeck,wmk2eix7vcc9aglty2ga,1,0,0
2025,fumbles,135,C.J. Gardner-Johnson,chauncey-gardner-johnson,pvzkbh5j3zlna7pkywx6,1,0,0
2025,fumbles,136,Rashan Gary,rashan-gary,ew8xw9vqpcmeily0m3fk,1,1,0
2025,fumbles,137,Jack Gibbens,jack-gibbens,cbl2jymi5wc5wxctu1es,1,0,0
2025,fumbles,138,Alohi Gilman,alohi-gilman,hjfezaosf4mpowfzltjt,1,2,0
2025,fumbles,139,Davon Godchaux,davon-godchaux,mldp5xpbggcf9iacij1s,1,0,0
2025,fumbles,140,Jonathan Greenard,jonathan-greenard,z49ugsnmbfkldervsiws,1,0,0
2025,fumbles,141,Dre Greenlaw,dre-greenlaw-x9042,jtvcc2vtczop90dkl4wd,1,0,0
2025,fumbles,142,Shaq Thompson,shaq-thompson,rk9qairtsyrzdoznvmen,1,0,0
2025,fumbles,143,Isaac Guerendo,isaac-guerendo,uy1bdu0dokosyzl4ohmi,1,0,0
2025,fumbles,144,Kemon Hall,kemon-hall,l5why1g7dkxmttkonaky,1,0,0
2025,fumbles,145,Logan Hall,logan-hall,k96urywunaosfsjayoyk,1,0,0
2025,fumbles,146,Will Harris,will-harris,u5dy7qow1rg8c8768koq,1,0,0
2025,fumbles,147,Javon Hargrave,javon-hargrave,lfk4hghl74egnyztqxbn,1,1,0
2025,fumbles,148,Thomas Harper,thomas-harper,gndkodhyidctgvcqy1bk,1,0,0
2025,fumbles,149,Jaylen Harrell,jaylen-harrell,tlijnhz6kshuwcnjha1m,1,0,0
2025,fumbles,150,Marcus Harris,marcus-harris-4,xwb7yigex1r2dne7yelm,1,0,0
2025,fumbles,151,Jaylinn Hawkins,jaylinn-hawkins,wll7vcwwhv4izv6klkg6,1,1,0
2025,fumbles,152,Josh Hayes,josh-hayes,qytktb1ertsh8rzwq08k,1,0,0
2025,fumbles,153,Trey Hendrickson,trey-hendrickson,ck1pofe4hwbbowzhb8uh,1,0,0
2025,fumbles,154,Cameron Heyward,cameron-heyward,vfql05jp29d2pltrlwqz,1,0,0
2025,fumbles,155,Jay Higgins,jay-higgins,zsbevehh3h4bsqiyga5q,1,0,0
2025,fumbles,156,Alex Highsmith,alex-highsmith,vfi0umrpljsc0cn3vqle,1,0,0
2025,fumbles,157,Jamal Hill,jamal-hill,wmxibtpnomcoopmuv8fi,1,0,0
2025,fumbles,158,Mike Hilton,mike-hilton,uippdcskzxubvfqoqxlo,1,0,0
2025,fumbles,159,Michael Hoecht,mike-hoecht,jc7u6udenysloew1b4sx,1,0,0
2025,fumbles,160,Cole Holcomb,cole-holcomb,tze6n0gu18n71jassqte,1,0,0
2025,fumbles,161,Ty'Ron Hopper,ty-ron-hopper,taqdlsfufqh99ucbl5zm,1,0,0
2025,fumbles,162,Dylan Horton,dylan-horton,tshgju7vbpqdj84bbkfl,1,0,0
2025,fumbles,163,James Houston,james-houston,zmjl8vpdr8fjeefnsnec,1,1,0
2025,fumbles,164,Talanoa Hufanga,talanoa-hufanga,i1jjyltv64sihzzrr04t,1,0,0
2025,fumbles,165,Christian Izien,christian-izien,mgnzlvalqatapemmfbao,1,0,0
2025,fumbles,166,Mike Jackson,mike-jackson,ohcl41cpchr9fjoktlj6,1,0,0
2025,fumbles,167,Keondre Jackson,keondre-jackson,nseq4vwhoakwfp7ytpp0,1,1,0
2025,fumbles,168,Theo Jackson,theo-jackson,bn0zvntbfmhw7yki2xr4,1,1,0
2025,fumbles,169,Derwin James,derwin-james,z9au0ajgcwoeozfdu0ec,1,0,0
2025,fumbles,170,Shemar James,shemar-james,bpuq0wagps3hcsl0clff,1,0,0
2025,fumbles,171,Rayshawn Jenkins,rayshawn-jenkins,e3tppqrhd6bpipfn2k4z,1,1,0
2025,fumbles,172,Austin Johnson,austin-johnson,wmwnpt1s8wxxztkkqd0z,1,0,0
2025,fumbles,173,Will Johnson,will-johnson-5,dq3zeuqbbnztptdeas6i,1,0,0
2025,fumbles,174,DaQuan Jones,daquan-jones,w7qkicdj6v0figbmfp0u,1,0,0
2025,fumbles,175,Jaylon Jones,jaylon-jones,wdcshvjrfqw2ocj3vtvj,1,0,0
2025,fumbles,176,Travis Jones,travis-jones,wm1f5uddgq3xmivgmrkz,1,1,0
2025,fumbles,177,Nikola Kalinic,nikola-kalinic,monk9ruop1ec5bfysiwl,1,0,0
2025,fumbles,178,Devon Key,devon-key,efu0kj0lyprsgahy1met,1,0,0
2025,fumbles,179,Javon Kinlaw,javon-kinlaw,jxqkukux4rgfpp5eekyo,1,0,0
2025,fumbles,180,Demetrius Knight Jr.,demetrius-knight-jr,j9eequyosorm1p9zc5gx,1,0,0
2025,fumbles,181,Malcolm Koonce,malcolm-koonce,cujkqhjibrywjodwgfyp,1,0,0
2025,fumbles,182,Quentin Lake,quentin-lake,qktbfevtbxiyrw9ekk72,1,1,0
2025,fumbles,183,Harold Landry III,harold-landry,u4vo0zlxvsph3annhc4f,1,0,0
2025,fumbles,184,Laiatu Latu,laiatu-latu,xiuokdmqrzzfn0dseqxw,1,0,0
2025,fumbles,185,Marist Liufau,marist-liufau,i81dbzylyw2mv7odmdck,1,0,0
2025,fumbles,186,LaCale London,lacale-london,lnztywmpyzddwtm0tymo,1,0,0
2025,fumbles,187,Avonte Maddox,avonte-maddox,j2guzeu1ggx5opajjl3h,1,0,0
2025,fumbles,188,Boye Mafe,boye-mafe,fkiu8drhb66rzmqjeg7w,1,0,0
2025,fumbles,189,Marte Mapu,marte-mapu,iulfjo62qs1q2uec0rxu,1,0,0
2025,fumbles,190,Jacob Martin,jake-martin,iq7og8epwftb1wl8aghd,1,0,0
2025,fumbles,191,Quan Martin,jartavius-martin,mqvepjtbymevlwn2c7qj,1,0,0
2025,fumbles,192,Nick Martin,nick-martin-2,znqnmy0xdk331ma8h7xa,1,0,0
2025,fumbles,193,Bam Martin-Scott,bam-martin-scott,fvfw5drjy4cxaotvve69,1,0,0
2025,fumbles,194,Marcelino McCrary-Ball,marcelino-mccrary-ball,fs8k5b7zyglt1zg9q5zd,1,0,0
2025,fumbles,195,Trent McDuffie,trent-mcduffie,xaq30zfwnliekwqzoank,1,0,0
2025,fumbles,196,Isaiah McGuire,isaiah-mcguire,bgay7c5onbqadb4qjguc,1,0,0
2025,fumbles,197,Xavier McKinney,xavier-mckinney,qhxnlik9ekqnbuxqbvpz,1,0,0
2025,fumbles,198,Alim McNeill,alim-mcneill,ugdqnlqg8btovqnkzqpw,1,0,0
2025,fumbles,199,Matt Milano,matt-milano,ikmvrrbegypwn8wejcge,1,0,0
2025,fumbles,200,Cameron Mitchell,cameron-mitchell,zzaqyr81r6bzhvcdss3b,1,0,0
2025,fumbles,201,Malachi Moore,malachi-moore,ftgqzch3vvsodlhud39f,1,1,0
2025,fumbles,202,Eric Murray,eric-murray,azsral4artrpwkjhh7cy,1,0,0
2025,fumbles,203,Jalen Nailor,jalen-nailor,nojopyt8hxuwycxyaokb,1,1,0
2025,fumbles,204,Jer'Zhan Newton,jer-zhan-newton,hgrxkwfkaiozsegi9sbp,1,0,0
2025,fumbles,205,Maema Njongmeta,maema-njongmeta,xilgtxzojnxouajl01uc,1,0,0
2025,fumbles,206,Sam Okuayinonu,sam-okuayinonu,nbng6hhjkazvx3four5d,1,0,0
2025,fumbles,207,Ed Oliver,ed-oliver,wqmheiax6xnk7pvcdzav,1,0,0
2025,fumbles,208,Segun Olubi,segun-olubi,wdbdm4wqfnxyot962sco,1,0,0
2025,fumbles,209,Daron Payne,daron-payne,fyaqgxzjicgbmrethav3,1,0,0
2025,fumbles,210,James Pearce Jr.,james-pearce-jr,iw7gq1kiprdcsomewxuh,1,1,0
2025,fumbles,211,Dell Pettus,dell-pettus,irmi15lyy3l28z6s0wgx,1,0,0
2025,fumbles,212,Harrison Phillips,harrison-phillips,znophhdzukalwuwsx6vx,1,0,0
2025,fumbles,213,Jaelan Phillips,jaelan-phillips,mgufa4byoe8onfjsuiq1,1,2,0
2025,fumbles,214,Brandon Pili,brandon-pili,qf0sxvyhghxygeocgob1,1,0,0
2025,fumbles,215,Germaine Pratt,germaine-pratt,genaletbuldhonkf0zlc,1,2,0
2025,fumbles,216,Patrick Queen,patrick-queen,hvbmd1y24q3eoky2jl8i,1,1,0
2025,fumbles,217,Lathan Ransom,lathan-ransom,gg0ztjfsso4y7yx4fxfb,1,0,0
2025,fumbles,218,C.J. Ravenell,c-j-ravenell,rqjhomavdixcd1tqcge5,1,0,0
2025,fumbles,219,Haason Reddick,haason-reddick,to1hxe921e7wc8rarebt,1,0,0
2025,fumbles,220,Jalen Redmond,jalen-redmond,y4m9ssdlqb8i7zgmo7tl,1,2,0
2025,fumbles,221,D.J. Reed,d-j-reed,haxt1fpxhgnobin0d5sx,1,1,0
2025,fumbles,222,Quincy Riley,quincy-riley,q4qlahpfgvbren4xt0pj,1,0,0
2025,fumbles,223,Kelee Ringo,kelee-ringo,tyuosakaiefa1pruil40,1,1,0
2025,fumbles,224,Chop Robinson,chop-robinson,qcf7mpwkznoaqj6viijj,1,0,0
2025,fumbles,225,Tavius Robinson,tavius-robinson,mmvqyuqlg73zp0jwydxr,1,0,0
2025,fumbles,226,Greg Rousseau,gregory-rousseau,bezzackpgrvijtqh6hta,1,0,0
2025,fumbles,227,Christian Rozeboom,christian-rozeboom,zuetviyilmxazi5dhts2,1,0,0
2025,fumbles,228,Chris Rumph II,chris-rumph-ii,ayrvlbmyxlvek7afcioc,1,0,0
2025,fumbles,229,Mike Sainristil,mike-sainristil,eftoaweovfwayhiyjg6q,1,0,0
2025,fumbles,230,Cameron Sample,cameron-sample,jt2s0db4sognkfwjmzhg,1,0,0
2025,fumbles,231,Darnell Savage,darnell-savage,oahujzgwcvkeyc9qpqrb,1,0,0
2025,fumbles,232,Nic Scourton,nic-scourton,urx4ncr2up987hovqjlr,1,0,0
2025,fumbles,233,Noah Sewell,noah-sewell,sw5wea1zlc1drxoisej0,1,0,0
2025,fumbles,234,Nathan Shepherd,nathan-shepherd,sl9b2jgyvmo5yn0vglok,1,0,0
