season,category,rank,player,slug,headshot_id,INT,INT TD,INT Yds,Lng
2025,interceptions,1,Kevin Byard,kevin-byard,b11d1p9hvxgvobcqaiud,7,0,91,35
2025,interceptions,2,Jaycee Horn,jaycee-horn,fmqur86wgh5craixy3yd,5,0,46,22
2025,interceptions,3,Antonio Johnson,antonio-johnson-3,rrxemukb8b2to7ba2g56,5,1,107,58
2025,interceptions,4,Ernest Jones,ernest-jones-2,zn0pz6okty7vbj5ryryt,5,1,150,85
2025,interceptions,5,Devin Lloyd,devin-lloyd,hbva85h6axjaiiiiwjfv,5,1,135,99
2025,interceptions,6,Xavier Watts,xavier-watts,kfq1ekzcnannihp8qatc,5,0,32,32
2025,interceptions,7,Nahshon Wright,nahshon-wright,pma5y3ixotctzzyqxygd,5,1,118,74
2025,interceptions,8,Jordan Battle,jordan-battle,iydwxwxig8e2godjx070,4,0,6,4
2025,interceptions,9,Coby Bryant,coby-bryant,kfojqisbt4anuiecraw5,4,0,43,28
2025,interceptions,10,Calen Bullock,calen-bullock,dp7ntdi5yxyhikjjsojs,4,0,40,29
2025,interceptions,11,Camryn Bynum,camryn-bynum,rncq5z5bfhigx2atid7k,4,0,22,14
2025,interceptions,12,Tremaine Edmunds,tremaine-edmunds,oel5uugavzbyitnjlw7f,4,0,10,10
2025,interceptions,13,Jaylinn Hawkins,jaylinn-hawkins,wll7vcwwhv4izv6klkg6,4,0,1,1
2025,interceptions,14,Marlon Humphrey,marlon-humphrey,zru6ellib9fzob6zq5c3,4,0,54,27
2025,interceptions,15,Mike Jackson,mike-jackson,ohcl41cpchr9fjoktlj6,4,1,102,54
2025,interceptions,16,Donte Jackson,donte-jackson,ptrcpfheqfuuyiqexmsq,4,0,27,21
2025,interceptions,17,Tony Jefferson,tony-jefferson,frazimtiuk4fsvlghusz,4,0,5,3
2025,interceptions,18,Kamari Lassiter,kamari-lassiter,uu606e3mutdzuzclkl7w,4,0,0,0
2025,interceptions,19,Jalen Pitre,jalen-pitre,brjf4opiqlbzp5q0wjcj,4,0,18,12
2025,interceptions,20,Mike Sainristil,mike-sainristil,eftoaweovfwayhiyjg6q,4,0,78,55
2025,interceptions,21,Derek Stingley Jr.,derek-stingley-jr,wkzinciyrrmsqdlda8lj,4,1,68,31
2025,interceptions,22,Cody Barton,cody-barton,gdsui5swyoiuqadewwob,3,1,25,24
2025,interceptions,23,Jessie Bates,jessie-bates,eego6d6svadhqg1dyacg,3,1,54,34
2025,interceptions,24,Cole Bishop,cole-bishop,kjvkuqb6ghv0ydbsoows,3,0,16,12
2025,interceptions,25,Denzel Burke,denzel-burke,ertjghbr5dldlhzml7jh,3,0,20,16
2025,interceptions,26,Devin Bush,devin-bush,yn9buon12abtkbrm9cqm,3,2,164,97
2025,interceptions,27,Jamel Dean,jamel-dean,i14xz1t5kffhey7aas39,3,1,74,55
2025,interceptions,28,Cobie Durant,cobie-durant,oeeeljrjnb0mvvzi6csj,3,1,60,50
2025,interceptions,29,Emmanuel Forbes,emmanuel-forbes,zuqfigu7eadzoeo0uymt,3,0,43,31
2025,interceptions,30,Dee Alford,deaundre-ford,mgi0d5fd1huslr3kfqg1,3,0,59,59
2025,interceptions,31,Jalyx Hunt,jalyx-hunt,uymi2mf5vbfkxopurlby,3,1,53,42
2025,interceptions,32,Derwin James,derwin-james,z9au0ajgcwoeozfdu0ec,3,0,28,21
2025,interceptions,33,Jarrian Jones,jarrian-jones,zauu0tt26tt32qevyvtm,3,0,13,13
2025,interceptions,34,Marcus Jones,marcus-jones-2,eteesniqc4caawrpbfuh,3,1,65,33
2025,interceptions,35,Kerby Joseph,kerby-joseph,jairg6uh8wzsvw6fmtpx,3,0,1,1
2025,interceptions,36,Kyu Blu Kelly,kyu-blu-kelly,jmwlrbcsuzckrohnwgdu,3,0,26,26
2025,interceptions,37,Laiatu Latu,laiatu-latu,xiuokdmqrzzfn0dseqxw,3,0,9,6
2025,interceptions,38,Kool-Aid McKinstry,kool-aid-mckinstry,n0yip0zx9i25jbwugzmo,3,0,0,0
2025,interceptions,39,Nate Wiggins,nate-wiggins,fz9g7jofrkejlgowugfk,3,0,84,61
2025,interceptions,40,Evan Williams,evan-williams,g3utgsouys3kewppbnb5,3,0,0,0
2025,interceptions,41,Azeez Al-Shaair,azeez-al-shaair,s03mktbhybon2whnvytl,2,0,0,0
2025,interceptions,42,Zack Baun,zack-baun,dhostt4bqph1utq56oxc,2,0,0,0
2025,interceptions,43,Christian Benford,christian-benford,kxucquiz77lhp8rn1nni,2,1,63,63
2025,interceptions,44,Mekhi Blackmon,mekhi-blackmon,wrzakzdbmugca60xbidc,2,0,41,32
2025,interceptions,45,Ji'Ayir Brown,ji-ayir-brown,gmgewszcsvxdb63dmqby,2,0,4,4
2025,interceptions,46,Montaric Brown,montaric-brown,jslgwquwwlbotxr8f1jz,2,0,0,0
2025,interceptions,47,Kam Curl,kamren-curl,b57yoekpyop58abtiilz,2,0,0,0
2025,interceptions,48,Cooper DeJean,cooper-dejean,aifrssmqxtoiydq9r1uo,2,0,32,21
2025,interceptions,49,Rasul Douglas,rasul-douglas,f2ac9dmdbhc6rvgllcbt,2,0,43,38
2025,interceptions,50,Kyle Dugger,kyle-dugger,azhrudd22sxdaxaiwy2k,2,1,73,73
2025,interceptions,51,Brandin Echols,brandin-echols,igkzt4tpxbb3lfcbfnzw,2,0,0,0
2025,interceptions,52,A.J. Epenesa,a-j-epenesa,hprr0vl8ruh0veetztij,2,0,25,24
2025,interceptions,53,C.J. Gardner-Johnson,chauncey-gardner-johnson,pvzkbh5j3zlna7pkywx6,2,0,60,32
2025,interceptions,54,Maxwell Hairston,maxwell-hairston,we3enqymnmzrfabz8srg,2,0,1,1
2025,interceptions,55,Daiyan Henley,daiyan-henley,jl1rn08ci17wub2xok8a,2,0,8,8
2025,interceptions,56,Ronnie Hickman Jr.,ronnie-hickman-jr,ds24p7j86p9mwshsjvbu,2,0,31,16
2025,interceptions,57,Derion Kendrick,derion-kendrick,rhmkstzb8ox2thtdo4k3,2,0,0,0
2025,interceptions,58,Kamren Kinchens,kamren-kinchens,fnxdjnzzmmihkv0p2efc,2,0,53,31
2025,interceptions,59,Demetrius Knight Jr.,demetrius-knight-jr,j9eequyosorm1p9zc5gx,2,0,39,39
2025,interceptions,60,Deommodore Lenoir,deommodore-lenoir,ozfx4033owzfliip24v2,2,0,90,64
2025,interceptions,61,Jourdan Lewis,jourdan-lewis,pfd9esqxpi8xgedprdls,2,0,6,6
2025,interceptions,62,Xavier McKinney,xavier-mckinney,qhxnlik9ekqnbuxqbvpz,2,0,0,0
2025,interceptions,63,Ja'Quan McMillian,ja-quan-mcmillian,kpgabuesfqci0swbrkem,2,1,61,45
2025,interceptions,64,Josh Metellus,josh-metellus,gmb2ahv4eq0jphammw2h,2,0,0,0
