season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
2025,kickoff-returns,1,Mecole Hardman,mecole-hardman,mswmia17pkencx01nswj,61,1,61,0,1,1,61,0,0
2025,kickoff-returns,2,Austin Trammell,austin-trammell,vpkcobp7jdqvk8qwhhtg,54,1,54,0,1,1,54,0,0
2025,kickoff-returns,3,Kene Nwangwu,kene-nwangwu,rlnqgz517fsohrndgjrb,33.6,18,604,1,17,2,99,0,0
2025,kickoff-returns,4,Deonte Banks,deonte-banks,pskti493swphojhbve0c,32.7,19,622,1,18,2,95,0,0
2025,kickoff-returns,5,Ashton Dulin,ashton-dulin,ux55cx0r9iwqwmfmaip6,32.2,16,516,0,15,4,55,0,0
2025,kickoff-returns,6,Dareke Young,dareke-young,xd0585sr1fy1wpry0ued,32.2,10,322,0,8,3,60,0,0
2025,kickoff-returns,7,Mason Tipton,mason-tipton,jcloxjivlxbcveled5lr,31.5,12,378,0,10,2,75,0,0
2025,kickoff-returns,8,Ray Davis,ray-davis-2,xibwzhrl6q5xkgh3utug,30.4,31,943,1,27,6,97,0,0
2025,kickoff-returns,9,Deebo Samuel Sr.,deebo-samuel,ntgyhqg6hq7fanhhsqiw,30.1,15,452,0,13,2,69,0,1
2025,kickoff-returns,10,Tyler Goodson,tyler-goodson,zqmesi6fwv82lhfzlht6,30,2,60,0,2,0,31,0,0
2025,kickoff-returns,11,Omarion Hampton,omarion-hampton,lf2jxvxnbexlinoydbej,30,1,30,0,1,0,30,0,0
2025,kickoff-returns,12,Jalen Royals,jalen-royals-2,sqrid1hnmwqymcp2vxfx,30,1,30,0,1,0,30,0,0
2025,kickoff-returns,13,Isaiah Williams,isaiah-williams-3,rj2etltwzmlxyz1cfkeo,29.9,28,837,0,26,3,83,0,1
2025,kickoff-returns,14,Rashid Shaheed,rashid-shaheed,ku2naisfbxmzgagxojnm,29.8,15,447,1,12,1,100,0,1
2025,kickoff-returns,15,Ameer Abdullah,ameer-abdullah,k8teyeiqchljlm0h5te4,29.6,19,563,0,16,3,81,0,1
2025,kickoff-returns,16,Luke McCaffrey,luke-mccaffrey,xtxiwlkniuldrqg65n3q,29.6,26,769,0,24,3,58,0,0
2025,kickoff-returns,17,Terrell Jennings,terrell-jennings,apyriqt5707yo5qgbni5,29.5,2,59,0,2,0,39,0,0
2025,kickoff-returns,18,Isaiah Davis,isaiah-davis,x6r9a5xhtaklbvnqmtw7,29.4,11,323,0,11,1,41,0,0
2025,kickoff-returns,19,Raheem Mostert,raheem-mostert,fas5rkweusx2hl7abtzh,29.3,23,673,0,21,2,54,0,0
2025,kickoff-returns,20,Brian Robinson,brian-robinson,n1xhex1ytisxcbcggqu7,29.1,13,378,0,12,3,46,0,0
2025,kickoff-returns,21,Emari Demercado,emari-demercado,wu0sm9ttr4aiugi9fquf,28.7,3,86,0,3,0,36,0,0
2025,kickoff-returns,22,Antonio Gibson,antonio-gibson-2,j7ixpkm7u4tdoqwzmbt4,28.5,12,342,1,8,2,90,0,1
2025,kickoff-returns,23,Bhayshul Tuten,bhayshul-tuten,ryjnphuyjbedmgpx5qqj,28.4,19,539,0,16,3,54,0,1
2025,kickoff-returns,24,Coleman Owen,coleman-owen,cjnhiftygnypqumwfphq,28.2,5,141,0,5,0,33,0,0
2025,kickoff-returns,25,Ty Chandler,ty-chandler,dmprsfd75phecgmbkf4l,28,3,84,0,3,0,33,0,0
2025,kickoff-returns,26,Kaden Davis,kaden-davis,j4pxqpw02oztmctolcdr,28,1,28,0,1,0,28,0,0
2025,kickoff-returns,27,Jaleel McLaughlin,jaleel-mclaughlin,jlzkji7mfkcmkyz2tygj,28,1,28,0,1,0,28,0,0
2025,kickoff-returns,28,Tom Kennedy,tom-kennedy,cbpuzvde5zqalmkjo0dv,27.9,16,447,0,14,2,42,0,0
2025,kickoff-returns,29,Luther Burden III,luther-burden-iii,iyuwdz7pbowdkwzq2tg5,27.9,8,223,0,7,1,44,0,0
2025,kickoff-returns,30,Nyheim Hines,nyheim-hines,ud1q6gh3tlkiy2w90gvm,27.9,7,195,0,6,1,40,0,0
2025,kickoff-returns,31,Jalin Hyatt,jalin-hyatt,fqgvjckxe03pr4eup6m7,27.8,4,111,0,4,0,33,0,0
2025,kickoff-returns,32,Jaylin Noel,jaylin-noel,ehlm8w4afdqoisx1e6as,27.6,29,799,0,24,2,69,0,0
2025,kickoff-returns,33,Dylan Drummond,dylan-drummond,xyexcy7ur9nscytyhinx,27.5,4,110,0,4,0,32,0,0
2025,kickoff-returns,34,Skyy Moore,skyy-moore,id9k0aylvgyq8lulabe3,27.5,33,907,0,27,2,98,0,0
2025,kickoff-returns,35,Noah Igbinoghene,noah-igbinoghene,gnhpvwecmtmrv3clqwi1,27.3,7,191,0,7,1,46,0,0
2025,kickoff-returns,36,Jacob Saylors,jacob-saylors,wunm6abfmikwaewmwkp7,27.2,33,897,0,33,0,39,0,0
2025,kickoff-returns,37,Cam Akers,cam-akers,dutj0wamu7giwghnmr4m,27,2,54,0,2,0,29,0,0
2025,kickoff-returns,38,Braxton Berrios,braxton-berrios,striwxmn9t0ixherw7l8,27,3,81,0,3,0,32,0,0
2025,kickoff-returns,39,Michael Carter,michael-carter-3,cwqrxzouk4gkhfziyqre,27,1,27,0,1,0,27,0,0
2025,kickoff-returns,40,Julius Chestnut,julius-chestnut,bkhv6hpjogvs5b31wwrs,27,3,81,0,3,0,32,0,0
2025,kickoff-returns,41,Justice Hill,justice-hill,fuodbrwvianete2gy5ag,26.9,7,188,0,7,0,30,0,0
2025,kickoff-returns,42,Keaton Mitchell,keaton-mitchell,ztciwwpbyaffmckwrzdk,26.9,22,591,0,19,1,41,0,0
2025,kickoff-returns,43,Kalif Raymond,kalif-raymond,dpdv6dm0almcbjdppizx,26.8,6,161,0,5,1,44,0,0
2025,kickoff-returns,44,Malik Washington,malik-washington,dmaiwnmaal9nrwfskl28,26.8,36,965,0,33,4,47,0,0
2025,kickoff-returns,45,Brandon Codrington,brandon-codington,icpo89rrbnus0apxhezm,26.8,14,375,0,13,1,41,0,0
2025,kickoff-returns,46,Will Shipley,will-shipley,pvpaepncsdfgzdubkuhg,26.8,29,777,0,28,1,41,0,1
2025,kickoff-returns,47,DeeJay Dallas,deejay-dallas,qrvemj4m3g2mqlbgy352,26.8,12,321,0,11,0,35,0,0
2025,kickoff-returns,48,Devin Duvernay,devin-duvernay,tj3t166iwsxbnyzxcyyl,26.7,40,1069,0,37,3,56,0,0
2025,kickoff-returns,49,Zamir White,zamir-white,jzthyqk2ld52f31ka1ir,26.7,11,294,0,11,0,34,0,0
2025,kickoff-returns,50,Brashard Smith,brashard-smith,xnf4x6b9a2yunsc0gaej,26.7,18,481,0,16,0,37,0,0
2025,kickoff-returns,51,Avery Williams,avery-williams-2,udxcy5ukuuppfhemywfn,26.6,5,133,0,5,0,29,0,0
2025,kickoff-returns,52,Tyler Badie,tyler-badie,ghhul5piv9vzeih6atsj,26.6,17,452,0,16,0,34,0,0
