season,category,rank,player,slug,headshot_id,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
2025,kickoffs,1,Jason Myers,jason-myers,zcd7q9loflr0t5bsvzig,103,6340,1941,18,17.5,81,24,0,0,3,0
2025,kickoffs,2,Brandon Aubrey,brandon-aubrey,bgwg06zmyohjxvzznbf6,101,6071,2027,17,16.8,79,25.7,1,0,4,0
2025,kickoffs,3,Jake Bates,jake-bates,umhfee7ax7r8gjdt8okb,99,6058,2003,17,17.2,77,26,1,0,5,0
2025,kickoffs,4,Cam Little,cam-little,mc9goepr7mglrx6ek1fi,97,5996,1525,37,38.1,56,27.2,1,0,3,0
2025,kickoffs,5,Andy Borregales,andres-borregales,x2fxn5qf6zkgmvedjpys,96,5799,1723,25,26,68,25.3,1,0,2,0
2025,kickoffs,6,Tyler Loop,tyler-loop,kbwixtntqevptepedhll,94,5512,1890,10,10.6,75,25.2,1,0,8,0
2025,kickoffs,7,Cameron Dicker,cameron-dicker,fvkop13kntnwv3amucpf,90,5566,1965,16,17.8,71,27.7,0,0,3,0
2025,kickoffs,8,Chris Boswell,chris-boswell,rxbnhvnfjmheuryvdmuf,88,5262,1914,7,8,76,25.2,2,0,3,0
2025,kickoffs,9,Wil Lutz,wil-lutz,vcglg5vsgbiyggwibgy0,88,5506,1791,21,23.9,65,27.6,0,0,2,0
2025,kickoffs,10,Evan McPherson,evan-mcpherson,t6fs7i54i4n7xjiayoz0,88,5347,1974,11,12.5,75,26.3,2,1,0,0
2025,kickoffs,11,Harrison Butker,harrison-butker,yphf8avl8ji0ncdohabz,87,5302,1814,13,14.9,71,25.6,1,0,2,0
2025,kickoffs,12,Ka'imi Fairbairn,ka-imi-fairbairn,nbrs7doetqydf2rzhjjl,86,5414,1684,22,25.6,63,26.7,0,0,1,1
2025,kickoffs,13,Chase McLaughlin,chase-mclaughlin,enkzsuyzk232mbq5oe4w,84,5065,1693,21,25,60,28.2,2,0,1,0
2025,kickoffs,14,Matt Prater,matt-prater,pj981bi535y4jwy6skr1,84,5103,1860,11,13.1,72,25.8,0,0,1,0
2025,kickoffs,15,Will Reichard,will-reichard,wv1h4umuddkfss96uutw,83,5048,1723,15,18.1,65,26.5,1,0,2,0
2025,kickoffs,16,Jake Elliott,jake-elliott,gxy1mhbnz1p2nufkg8qz,82,4893,1608,13,15.8,67,24,1,0,1,0
2025,kickoffs,17,Chad Ryland,chad-ryland,gbfzwbzdl9wj582nh5g9,82,4868,1607,20,24.4,56,28.7,3,0,3,0
2025,kickoffs,18,Cairo Santos,cairo-santos,tz5ecjri52gwpoo9s7be,81,4863,1528,18,22.2,58,26.3,2,1,3,1
2025,kickoffs,19,Riley Patterson,riley-patterson,xjg7x98iyq5hlgjc62ot,79,4728,1634,14,17.7,61,26.8,2,0,2,1
2025,kickoffs,20,Eddy Pineiro,eddy-pineiro,v3vtl2t4dfzkueanjfwc,79,4835,1604,16,20.2,62,25.9,0,0,1,0
2025,kickoffs,21,Ryan Fitzgerald,ryan-fitzgerald,giy8qnq6njxzwtqvqdsm,71,4173,1355,10,14.1,60,22.6,0,0,1,0
2025,kickoffs,22,Blake Grupe,blake-grupe,de3vz6xjjo9paba6encd,70,4300,1606,10,14.3,58,27.7,0,0,2,0
2025,kickoffs,23,Brandon McManus,brandon-mcmanus,qvwi9b1vfkn0wlmdl7ej,69,4332,1366,15,21.7,53,25.8,0,0,1,0
2025,kickoffs,24,Joey Slye,joey-slye,qyugyvvddildncveryob,67,4167,1140,17,25.4,46,24.8,0,0,4,0
2025,kickoffs,25,Andre Szmyt,andre-szmyt,tkah6glpysuyq2a54gts,67,3989,1447,13,19.4,52,27.8,2,1,0,1
2025,kickoffs,26,Daniel Carlson,daniel-carlson,gsvj7rtvqwbwdeho8whf,62,3674,1317,11,17.7,47,28,2,0,2,1
