season,category,rank,player,slug,headshot_id,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
2025,passing,1,Matthew Stafford,matthew-stafford,jwpkjfrkzufdyh8u1mg7,4707,7.9,597,388,65,46,8,109.2,236,39.5,72,8,88,23,150
2025,passing,2,Jared Goff,jared-goff,kaicbot8qhzrvddilbtp,4564,7.9,578,393,68,34,8,105.5,223,38.6,66,8,64,38,259
2025,passing,3,Dak Prescott,dak-prescott,yvscmqq1qki8zfsemmcd,4552,7.6,600,404,67.3,30,10,99.5,220,36.7,53,12,86,31,208
2025,passing,4,Drake Maye,drake-maye,s1nmoon2xnrc3bnyulv4,4394,8.9,492,354,72,31,8,113.5,203,41.3,67,6,72,47,201
2025,passing,5,Sam Darnold,sam-darnold,fyay8vruj0cqmhopufzk,4048,8.5,477,323,67.7,25,14,99.1,178,37.3,57,12,67,27,186
2025,passing,6,Trevor Lawrence,trevor-lawrence,k9uzdernqkx7oquy7dkg,4007,7.2,560,341,60.9,29,12,91,194,34.6,57,6,63,41,247
2025,passing,7,Caleb Williams,caleb-williams,h4qs11kutwiw7whekmyt,3942,6.9,568,330,58.1,27,7,90.1,187,32.9,58,7,65,24,165
2025,passing,8,Bo Nix,bo-nix,zvo9xatffmqn9lnukpgk,3931,6.4,612,388,63.4,25,11,87.8,196,32,47,7,52,22,119
2025,passing,9,Justin Herbert,justin-herbert,jnkspnntgebegzp4ghve,3727,7.3,512,340,66.4,26,13,94.1,175,34.2,43,8,60,54,301
2025,passing,10,Baker Mayfield,baker-mayfield,gjb8e69jtt1ffqf1afue,3693,6.8,543,343,63.2,26,11,90.6,172,31.7,54,7,77,36,234
2025,passing,11,Josh Allen,josh-allen,mjwbioajzldkq1vzoz2d,3668,8,460,319,69.4,25,10,102.2,177,38.5,56,10,54,40,298
2025,passing,12,Patrick Mahomes,patrick-mahomes,wdckwtob1lybvkmxnf7p,3587,7.2,502,315,62.8,22,11,89.6,173,34.5,49,8,61,34,193
2025,passing,13,Jordan Love,jordan-love,thz8stjkbjwddxqnozi5,3381,7.7,439,291,66.3,23,6,101.2,159,36.2,49,8,59,21,169
2025,passing,14,Jacoby Brissett,jacoby-brissett,qjswiunczrn5xmdiqhlz,3366,6.9,485,315,65,23,8,94.1,165,34,41,3,50,43,288
2025,passing,15,Aaron Rodgers,aaron-rodgers,dypvakakxhccxs67tb0y,3322,6.7,498,327,65.7,24,7,94.8,143,28.7,38,7,80,29,180
2025,passing,16,Jalen Hurts,jalen-hurts,xow5yvxjeqa6witmofmp,3224,7.1,454,294,64.8,25,6,98.5,150,33,40,9,79,32,181
2025,passing,17,Cam Ward,cam-ward,l7switu6stlwd2irm8yo,3169,5.9,540,323,59.8,15,7,80.2,153,28.3,40,3,47,55,410
2025,passing,18,Daniel Jones,daniel-jones-x5302,ohvvctuykzwrpqer7xgl,3101,8.1,384,261,68,19,8,100.2,149,38.8,36,7,75,22,158
2025,passing,19,C.J. Stroud,c-j-stroud,tt4zrtxlhifaljhj0rn7,3041,7.2,423,273,64.5,19,8,92.9,136,32.2,39,10,75,23,189
2025,passing,20,Geno Smith,geno-smith,zppfqqcyjfma14jjif3a,3025,6.8,448,302,67.4,19,17,84.7,148,33,33,3,61,55,405
2025,passing,21,Bryce Young,bryce-young,vcvhmxvxw2a3armle0af,3011,6.3,478,304,63.6,23,11,87.8,153,32,39,4,54,27,202
2025,passing,22,Tua Tagovailoa,tua-tagovailoa,tmm4ohds7qci0vqoobhm,2660,6.9,384,260,67.7,20,15,88.4,142,37,33,4,47,30,195
2025,passing,23,Lamar Jackson,lamar-jackson,eno6s5qzl9grbfbfwhoa,2549,8.4,302,192,63.6,21,7,103.8,109,36.1,38,6,64,36,239
2025,passing,24,Joe Flacco,joe-flacco,dre1d2f2d6dxqohzn5l2,2479,6,416,251,60.3,15,10,79.2,115,27.6,25,2,44,18,118
2025,passing,25,Tyler Shough,tyler-shough,toiafc7qighw86geo7jf,2384,7.3,327,221,67.6,10,6,91.3,107,32.7,19,3,62,31,195
2025,passing,26,Jaxson Dart,jaxson-dart,n6uymxssgiicjmxkzxoc,2272,6.7,339,216,63.7,15,5,91.7,102,30.1,25,3,44,35,152
2025,passing,27,Brock Purdy,brock-purdy,xs2fyj1sqdgwvt9ihbri,2167,7.6,284,197,69.4,20,10,100.5,130,45.8,33,1,45,11,53
2025,passing,28,Mac Jones,mac-jones,mbdwfwiuhl0ib5ajtmzq,2151,7.4,289,201,69.6,13,6,97.4,107,37,18,3,56,16,108
2025,passing,29,Michael Penix Jr.,michael-penix-jr,mip4kogkqxwkkya6mvmh,1982,7.2,276,166,60.1,9,3,88.5,99,35.9,26,5,69,13,101
2025,passing,30,Joe Burrow,joe-burrow,gnnvcgui1cijybukk2w7,1809,7,259,173,66.8,17,5,100.7,100,38.6,22,1,43,17,113
2025,passing,31,Kirk Cousins,kirk-cousins,za7cynvpwlsro1tsaijk,1721,6.4,269,166,61.7,10,5,84.8,86,32,21,3,49,13,79
2025,passing,32,Marcus Mariota,marcus-mariota,grx6m1fmu1odltjo3y31,1695,7.5,227,139,61.2,10,7,86.1,79,34.8,22,5,56,16,107
2025,passing,33,J.J. McCarthy,j-j-mccarthy,omybnfokapjw6jwb5dd3,1632,6.7,243,140,57.6,11,12,72.6,80,32.9,20,3,62,27,149
