slug,name,position,team_2025,current_team,age,games,pass_att,pass_cmp,pass_yds,pass_td,pass_int,pass_rate,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,tackles,sacks,forced_fumbles,interceptions
matthew-stafford,Matthew Stafford,QB,Los Angeles Rams,Los Angeles Rams,38,17,597,388,4707,46,8,109.2,29,1,0,,,,1,0,0,
myles-garrett,Myles Garrett,DE,Cleveland Browns,Los Angeles Rams,30,17,,,,,,,,,,,,,57,23,3,
jaxon-smith-njigba,Jaxon Smith-Njigba,WR,Seattle Seahawks,Seattle Seahawks,24,17,,,,,,,7,36,0,119,1793,10,3,0,0,
puka-nacua,Puka Nacua,WR,Los Angeles Rams,Los Angeles Rams,25,16,,,,,,,10,105,1,129,1715,10,,,,
drake-maye,Drake Maye,QB,New England Patriots,New England Patriots,24,17,492,354,4394,31,8,113.5,103,450,4,1,2,0,,,,
bijan-robinson,Bijan Robinson,RB,Atlanta Falcons,Atlanta Falcons,24,17,,,,,,,287,1478,7,79,820,4,,,,
will-anderson-jr,Will Anderson Jr.,DE,Houston Texans,Houston Texans,25,17,,,,,,,,,,,,,50,12,3,
christian-mccaffrey,Christian McCaffrey,RB,San Francisco 49ers,San Francisco 49ers,30,17,1,0,0,0,0,39.6,311,1202,10,102,924,7,3,0,0,
james-cook,James Cook,RB,Buffalo Bills,Buffalo Bills,26,17,,,,,,,309,1621,12,33,291,2,,,,
trey-mcbride,Trey McBride,TE,Arizona Cardinals,Arizona Cardinals,26,17,,,,,,,,,,126,1239,11,,,,
