season,category,rank,player,slug,headshot_id,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
2025,punt-returns,1,Tyreek Hill,tyreek-hill,gg73gnfivrn80oyqwazl,19,1,19,0,0,0,19,0,0
2025,punt-returns,2,Chimere Dike,chimere-dike,cbcpv4931dqmgsu3anvo,17.3,23,398,2,6,3,90,25,1
2025,punt-returns,3,Marcus Jones,marcus-jones-2,eteesniqc4caawrpbfuh,17.3,21,363,2,3,3,94,18,2
2025,punt-returns,4,Scott Miller,scott-miller,mlx2xhjvzt6pqwgoloqa,17,2,34,0,1,0,25,2,0
2025,punt-returns,5,Tom Kennedy,tom-kennedy,cbpuzvde5zqalmkjo0dv,16.7,3,50,0,2,0,21,0,0
2025,punt-returns,6,Marvin Mims Jr.,marvin-mims-jr,zbdjtph5xplbf4yocz0l,15.6,29,452,1,7,2,70,21,1
2025,punt-returns,7,Austin Trammell,austin-trammell,vpkcobp7jdqvk8qwhhtg,15,1,15,0,0,0,15,2,0
2025,punt-returns,8,Tory Horton,tory-horton,lmsun4qzmk1rkgt4kw76,14.9,16,238,1,2,1,95,9,0
2025,punt-returns,9,Rashid Shaheed,rashid-shaheed,ku2naisfbxmzgagxojnm,14.7,23,339,1,4,2,58,27,0
2025,punt-returns,10,Isaiah Williams,isaiah-williams-3,rj2etltwzmlxyz1cfkeo,14.1,28,396,2,3,2,78,12,0
2025,punt-returns,11,Jaylin Lane,jaylin-lane,fa5ufxqxs3hzioih3cfb,13.6,23,314,2,4,2,90,9,2
2025,punt-returns,12,Parker Washington,parker-washington,yn0hc5xrz5nqeccg8two,13.6,25,341,2,3,3,87,13,2
2025,punt-returns,13,Malik Washington,malik-washington,dmaiwnmaal9nrwfskl28,13,20,260,1,2,1,74,11,0
2025,punt-returns,14,LaJohntay Wester,lajohntay-wester,t6cyhtqoihm88xppswud,12.4,16,198,0,2,0,35,8,1
2025,punt-returns,15,Skyy Moore,skyy-moore,id9k0aylvgyq8lulabe3,11.6,25,291,0,2,1,66,7,1
2025,punt-returns,16,Greg Dortch,greg-dortch,pylafoddjiqh4rhjlhpf,11.6,16,185,0,3,1,40,5,0
2025,punt-returns,17,Brashard Smith,brashard-smith,xnf4x6b9a2yunsc0gaej,11.3,6,68,0,1,1,44,1,0
2025,punt-returns,18,Britain Covey,britain-covey,jgvgr3prtme8ua28bfxi,11.3,11,124,0,1,0,22,10,1
2025,punt-returns,19,Kameron Johnson,kameron-johnson,ms7auybbkq1nwbd2ev0d,11.2,26,291,0,3,2,54,15,2
2025,punt-returns,20,Devin Duvernay,devin-duvernay,tj3t166iwsxbnyzxcyyl,11,21,231,0,1,0,22,16,0
2025,punt-returns,21,Nyheim Hines,nyheim-hines,ud1q6gh3tlkiy2w90gvm,11,1,11,0,0,0,11,0,0
2025,punt-returns,22,Jaylin Noel,jaylin-noel,ehlm8w4afdqoisx1e6as,10.8,31,335,0,4,2,53,19,0
2025,punt-returns,23,Xavier Gipson,xavier-gipson,o81mvslx374ouca313mw,10.8,8,86,0,0,0,19,8,2
2025,punt-returns,24,Steven Sims,steven-sims,j4wvyoqtwt34h8qamgun,10.7,3,32,0,0,0,18,0,0
2025,punt-returns,25,Jayden Reed,jayden-reed,uhb95fij1uo92ymqxpmg,10.5,2,21,0,1,0,20,0,0
2025,punt-returns,26,Ke'Shawn Williams,ke-shawn-williams,r7enwgccqv93feuoeurz,10.4,20,207,0,2,1,43,6,1
2025,punt-returns,27,Avery Williams,avery-williams-2,udxcy5ukuuppfhemywfn,10.2,4,41,0,0,0,17,0,0
2025,punt-returns,28,Anthony Gould,anthony-gould,irctulz9pij3tzpokih0,10.1,13,131,0,2,0,21,7,0
2025,punt-returns,29,Mitchell Tinsley,mitchell-tinsley,t4h8qtzndtvf6is6naew,10,1,10,0,0,0,10,2,0
2025,punt-returns,30,Myles Price,myles-price,yi2pgwujy0lv9l3m3sig,9.9,30,298,0,4,1,43,12,2
2025,punt-returns,31,Jahan Dotson,jahan-dotson,gwuibfw7ljxudxtldcvh,9.6,5,48,0,0,0,15,12,0
2025,punt-returns,32,DeAndre Carter,deandre-carter,jx4io3owliw3l5xve6ta,9.3,6,56,0,0,0,15,5,1
2025,punt-returns,33,Xavier Smith,xavier-smith,hqvwpitewijx8bjrcofe,9.3,27,251,0,3,0,31,20,0
2025,punt-returns,34,Jalen Moreno-Cropper,jalen-moreno-cropper,key7qkukzlgva9oz7k2r,9,3,27,0,0,0,10,3,1
2025,punt-returns,35,Gunner Olszewski,gunner-olszewski,q6fs5e2eotgeh47xeo74,9,24,216,0,2,0,21,12,0
2025,punt-returns,36,Deven Thompkins,deven-thompkins,hohgyaldfuylxqwnb8i2,9,6,54,0,0,0,15,2,0
2025,punt-returns,37,Charlie Jones,charlie-jones-3,poy4ph18jx211xbe6ajt,8.8,13,115,0,1,0,23,12,0
2025,punt-returns,38,Josh Downs,josh-downs,z3wahaxpmc6d5lcxgh60,8.5,8,68,0,1,0,24,4,1
2025,punt-returns,39,Braxton Berrios,braxton-berrios,striwxmn9t0ixherw7l8,8.3,3,25,0,0,0,10,0,0
2025,punt-returns,40,Trevor Etienne,trevor-etienne,pcuzq84x7ia5yvmikltb,8.2,20,163,0,0,0,16,6,1
2025,punt-returns,41,Kyren Williams,kyren-williams,xti3pek6rmojqchakxpy,8,1,8,0,0,0,8,3,0
2025,punt-returns,42,Khalil Shakir,khalil-shakir,syvp3hficobwcsim3i9v,7.8,16,124,0,1,0,28,9,0
2025,punt-returns,43,Ladd McConkey,ladd-mcconkey,q2sk7yforrkiusvruo1o,7.7,3,23,0,0,0,10,8,0
2025,punt-returns,44,Nikko Remigio,nikko-remigio,n6b1tsy32fswbd0xgsim,7.6,25,191,0,3,0,31,11,2
2025,punt-returns,45,Jamal Agnew,jamal-agnew,buapoaxrvjzwsr4l34mq,7.6,15,114,0,0,0,17,8,2
2025,punt-returns,46,Kalif Raymond,kalif-raymond,dpdv6dm0almcbjdppizx,7.5,32,241,1,1,1,65,13,0
2025,punt-returns,47,Tarheeb Still,tarheeb-still,q1y35mhd4laqikbiuq5e,7.2,5,36,0,0,0,11,0,0
2025,punt-returns,48,Derius Davis,derius-davis,ykmeihbr6903smvblzgc,7,11,77,0,1,0,33,17,0
2025,punt-returns,49,Tre Tucker,tre-tucker,hazzk3hrcequzosdgzgv,7,7,49,0,0,0,15,4,0
2025,punt-returns,50,Gage Larvadain,gage-larvadain,sivfugvzbbxrgkvxr5cb,7,24,167,0,1,1,44,21,4
2025,punt-returns,51,Calvin Austin III,calvin-austin-iii,qlt6ztqcbu0uzad6aavt,6.7,15,101,0,0,0,12,4,0
2025,punt-returns,52,Hunter Renfrow,hunter-renfrow,sgrqk1a6fm34swazm2bx,6.5,2,13,0,0,0,13,2,0
2025,punt-returns,53,Romeo Doubs,romeo-doubs,yxvzijmgwyyigljxfmyb,6.3,15,94,0,0,0,16,6,0
2025,punt-returns,54,Dante Pettis,dante-pettis,xz70t2ahl2ak2q9mqtia,6.1,13,79,0,0,0,17,10,0
2025,punt-returns,55,Michael Bandy,michael-bandy,bcashgwve9ean9pq8egb,5.8,5,29,0,0,0,12,3,1
2025,punt-returns,56,Brandon Codrington,brandon-codington,icpo89rrbnus0apxhezm,5.8,10,58,0,0,0,15,4,1
2025,punt-returns,57,Alex Bachman,alex-bachman,xebxem8tzjm0yyygaklg,5.6,22,124,0,1,0,25,9,1
2025,punt-returns,58,KaVontae Turpin,kavontae-turpin,tayjlp1hgmm6rewgl1k4,5.5,10,55,0,0,0,19,11,0
2025,punt-returns,59,Matthew Golden,matthew-golden,dbjki6b0swksr7mk17wk,4.7,6,28,0,0,0,11,2,0
2025,punt-returns,60,Isaiah Bond,isaiah-bond,piv889pkizjvgrtpfkxm,4.5,2,9,0,0,0,9,1,0
2025,punt-returns,61,Keon Coleman,keon-coleman,cm7g87waetksjouyjgvg,4,2,8,0,0,0,6,1,0
2025,punt-returns,62,Jevon Holland,jevon-holland,z5pg2azijnijyvqexm4r,3.5,2,7,0,0,0,10,3,0
2025,punt-returns,63,Jeshaun Jones,jeshaun-jones,pwlziiyhd7ectylkejgc,2.5,2,5,0,0,0,5,4,0
2025,punt-returns,64,Mecole Hardman,mecole-hardman,mswmia17pkencx01nswj,2,2,4,0,0,0,4,0,1
2025,punt-returns,65,Coleman Owen,coleman-owen,cjnhiftygnypqumwfphq,2,1,2,0,0,0,2,2,0
2025,punt-returns,66,Mason Kinsey,mason-kinsey,fnp9cl8jpe0mrkysfh4r,1,1,1,0,0,0,1,0,0
2025,punt-returns,67,Keisean Nixon,keisean-nixon,ousxob0dqjxxmcalq8aa,1,3,3,0,0,0,3,1,1
2025,punt-returns,68,River Cracraft,river-cracraft,y8t968ntco72t8f8ryba,0.5,2,1,0,0,0,1,0,0
