season,category,rank,player,slug,headshot_id,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
2025,punts,1,Blake Gillikin,blake-gillikin,pgasxtghfviimlj55tn0,51.7,45.4,999,22,63,1138,8,1,1,2,7,11,99,0,0
2025,punts,2,Daniel Whelan,daniel-whelan,sbt08fmtztaze2rm3cef,51.7,43.9,2151,49,72,2533,18,5,3,8,12,21,222,0,0
2025,punts,3,Matt Haack,matt-haack,q0pk8i0ehgn4bccwbmme,51.3,43.4,1085,25,65,1283,10,2,4,0,4,15,198,0,0
2025,punts,4,Ryan Rehkow,ryan-rehkow,c0eiplwe2c9m46zhmcq8,50.5,42.9,2788,65,70,3285,28,4,10,11,12,28,277,0,0
2025,punts,5,Jordan Stout,jordan-stout,eeftrwsh0aigc7r22goy,50.1,44.9,2378,53,74,2657,24,7,11,6,6,23,159,0,0
2025,punts,6,Braden Mann,braden-mann,eizeojehmxkvvfahj1tk,49.9,42.8,3081,72,70,3591,20,12,7,8,11,34,350,0,0
2025,punts,7,Michael Dickson,michael-dickson,apjm64xahlm5hjmoxul7,49,42.2,2193,52,60,2548,20,6,7,3,17,19,295,1,0
2025,punts,8,Ryan Wright,ryan-wright,g8j6r8d2ut2a2ln6i3c6,49,44.5,2893,65,77,3184,25,7,6,3,22,27,231,0,0
2025,punts,9,Rigoberto Sanchez,rigoberto-sanchez,i3hjsasd97k3y3z0inc6,48.8,44.7,1966,44,59,2146,22,4,3,3,15,19,120,0,0
2025,punts,10,Bryan Anger,bryan-anger,e1fozrp2fhprrkheqt0x,48.6,42.6,1748,41,65,1994,14,1,1,0,13,26,246,0,0
2025,punts,11,Logan Cooke,logan-cooke,qy2pmeevxy1jndpdq1ai,48,43,2580,60,66,2878,22,13,5,6,9,27,178,0,0
2025,punts,12,J.K. Scott,j-k-scott,yayikawhfng99cqrosax,47.8,41.4,2486,60,60,2871,23,5,7,4,23,21,305,1,0
2025,punts,13,Tory Taylor,tory-taylor,fvmwdsbi4nkpw9hfm4qj,47.8,40.4,2424,60,69,2870,21,10,8,7,9,26,306,0,0
2025,punts,14,Jake Bailey,jake-bailey,loghcplmv69wosiqlopr,47.7,42.6,2686,63,64,3005,21,5,11,3,19,25,259,1,0
2025,punts,15,Jeremy Crawshaw,jeremy-crawshaw,ybqasaukmya02ajzgoaz,47.6,41.1,3085,75,76,3573,30,11,3,9,23,29,308,0,0
2025,punts,16,AJ Cole,a-j-cole,t6ah2u0wptbb8n22tehr,47.6,40.8,2899,73,64,3379,24,17,4,4,13,33,400,2,2
2025,punts,17,Matt Araiza,matt-araiza,tmtvevrgg8lziqewdhtv,47.6,41.3,2313,56,69,2664,25,5,8,3,16,24,291,0,0
2025,punts,18,Tommy Townsend,tommy-townsend,zwolwrghzfucwck0bwld,47.6,41.6,2998,72,73,3424,30,10,10,5,14,33,326,1,0
2025,punts,19,Bryce Baringer,bryce-baringer,iyvu3asumkgff88z5lot,47.4,40.6,2071,51,73,2416,21,6,4,4,15,22,265,1,0
2025,punts,20,Tress Way,tress-way,u61eijcazx9o4lb0lwp3,47.3,43.9,2457,56,71,2651,29,0,9,4,18,25,114,0,0
