season,category,rank,player,slug,headshot_id,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
2025,receiving,1,Puka Nacua,puka-nacua,ipy6qw7hdygdfc8k86ba,129,1715,10,27,3,58,80,62,1,666,166
2025,receiving,2,Trey McBride,trey-mcbride,psasp10nn5pcvkli9kil,126,1239,11,12,0,31,63,50,0,583,169
2025,receiving,3,Ja'Marr Chase,ja-marr-chase,qya3dtjb5kgofcuj2tuw,125,1412,8,15,2,64,73,58.4,1,640,185
2025,receiving,4,Jaxon Smith-Njigba,jaxon-smith-njigba,yx1xjrupbqdknnjaq4a6,119,1793,10,27,8,63,79,66.4,3,528,163
2025,receiving,5,Amon-Ra St. Brown,amon-ra-st-brown,fd8nwhm6pvxfyzphzl6i,117,1401,11,19,1,52,71,60.7,1,570,172
2025,receiving,6,Christian McCaffrey,christian-mccaffrey,st82s2ytyzanatcmkqck,102,924,7,7,0,39,49,48,1,720,129
2025,receiving,7,Chris Olave,chris-olave,onmxufsprtvglhejg94o,100,1163,9,11,4,62,53,53,0,289,156
2025,receiving,8,George Pickens,george-pickens,cbpyykoguf7rsxezqzvk,93,1429,9,22,4,45,73,78.5,4,479,137
2025,receiving,9,Wan'Dale Robinson,wan-dale-robinson,yzcvyhmilvxedfjfjglc,92,1014,4,14,2,50,39,42.4,1,386,140
2025,receiving,10,Kyle Pitts,kyle-pitts,xczipzxvytnmvgznhhb4,88,928,5,12,0,36,51,58,0,400,118
2025,receiving,11,Zay Flowers,zay-flowers,xzhto2dejy2pflkfx40c,86,1211,5,19,4,64,48,55.8,3,458,118
2025,receiving,12,Stefon Diggs,stefon-diggs,cemcexmscsarpvwhafln,85,1013,4,17,0,34,51,60,0,354,102
2025,receiving,13,Justin Jefferson,justin-jefferson,htjevkugzk6ietrjysny,84,1048,2,12,2,50,47,56,0,451,141
2025,receiving,14,Jake Ferguson,jake-ferguson,xpykb0tbosfwsn6dqstb,82,600,8,2,0,26,30,36.6,3,307,102
2025,receiving,15,Dalton Schultz,dalton-schultz,ym8sbkev8l4scnrc0vd8,82,777,3,5,1,47,39,47.6,1,358,106
2025,receiving,16,Keenan Allen,keenan-allen,ri267r6lzfwarh89hsn6,81,777,4,6,0,31,49,60.5,2,231,122
2025,receiving,17,Michael Pittman,michael-pittman-2,q1ythn05kwcmdr4mwzll,80,784,7,5,0,27,47,58.8,0,259,111
2025,receiving,18,Bijan Robinson,bijan-robinson,esii5yb8yn9edboi4mlq,79,820,4,10,4,69,34,43,1,857,103
2025,receiving,19,A.J. Brown,a-j-brown,qfhvjyssf0lwsh0kienp,78,1003,7,14,1,45,47,60.3,0,268,121
2025,receiving,20,Michael Wilson,michael-wilson,hm2b9z4zujjmbiyldh8n,78,1006,7,14,2,50,51,65.4,0,273,126
2025,receiving,21,Jahmyr Gibbs,jahmyr-gibbs,cursejnmmp1i9hnxihkj,77,616,5,7,1,42,28,36.4,0,615,94
2025,receiving,22,Juwan Johnson,juwan-johnson,ahzqkvhjot6lygwr4ccb,77,889,3,11,1,52,41,53.2,2,362,102
