season,category,rank,player,slug,headshot_id,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
2025,rushing,1,James Cook,james-cook,anjbznqb9i21wzcgrtbs,1621,309,12,9,4,64,68,22,6
2025,rushing,2,Derrick Henry,derrick-henry,tm79x0iknqg6hms3ypyt,1595,307,16,17,4,59,79,25.7,4
2025,rushing,3,Jonathan Taylor,jonathan-taylor,yw46ky6akdm7h7siofu8,1585,323,18,9,4,83,84,26,1
2025,rushing,4,Bijan Robinson,bijan-robinson,esii5yb8yn9edboi4mlq,1478,287,7,8,2,93,63,22,3
2025,rushing,5,De'Von Achane,devon-achane,xk1xwio0bryfxo1ylweu,1350,238,8,13,4,59,56,23.5,1
2025,rushing,6,Kyren Williams,kyren-williams,xti3pek6rmojqchakxpy,1252,259,10,6,0,34,74,28.6,2
2025,rushing,7,Jahmyr Gibbs,jahmyr-gibbs,cursejnmmp1i9hnxihkj,1223,243,13,10,6,78,56,23,2
2025,rushing,8,Christian McCaffrey,christian-mccaffrey,st82s2ytyzanatcmkqck,1202,311,10,3,1,41,70,22.5,1
2025,rushing,9,Javonte Williams,javonte-williams,xvwroirev2kie6oiphtz,1201,252,11,6,1,66,67,26.6,1
2025,rushing,10,Saquon Barkley,saquon-barkley,qcayrzjpura2zydszonh,1140,280,7,4,3,65,48,17.1,0
2025,rushing,11,Travis Etienne,travis-etienne,pwko5dybmjie8qqo4qz2,1107,260,7,7,3,71,48,18.5,0
2025,rushing,12,D'Andre Swift,d-andre-swift,owpmwzoilitcodc6cmxo,1087,223,9,5,0,25,62,27.8,2
2025,rushing,13,Tony Pollard,tony-pollard,mb2xdrqiys6ktlcuah2n,1082,242,5,6,1,65,48,19.8,3
2025,rushing,14,Rico Dowdle,rico-dowdle,mx2bxccuzmdvzbksypws,1076,236,6,5,2,53,51,21.6,1
2025,rushing,15,Breece Hall,breece-hall,i01xtqbfajfq68lb6orh,1065,243,4,8,1,59,57,23.5,2
2025,rushing,16,Kenneth Walker III,kenneth-walker-iii,vk6nruaqdewdglofcwwg,1027,221,5,10,1,55,46,20.8,0
2025,rushing,17,Chase Brown,chase-brown,tch3y6jlj7khvyi9jg0c,1019,232,6,6,0,37,52,22.4,1
2025,rushing,18,Ashton Jeanty,ashton-jeanty,syspis1mntov9kgspb7r,975,266,5,3,2,64,44,16.5,1
2025,rushing,19,Jaylen Warren,jaylen-warren,dkiteytgnxar1mpaxcxv,958,211,6,6,2,45,52,24.6,1
2025,rushing,20,Josh Jacobs,josh-jacobs-x3315,uceokxeo0uqrqms3e3vl,929,234,13,3,1,40,55,23.5,3
2025,rushing,21,TreVeyon Henderson,treveyon-henderson,ebcjvwytgu2y4kqm8ihv,911,180,9,6,4,69,45,25,1
2025,rushing,22,Quinshon Judkins,quinshon-judkins,ojtce2im0wp2ltyel0vc,827,230,7,4,1,46,50,21.7,0
2025,rushing,23,Jacory Croskey-Merritt,jacory-croskey-merritt,qew4qhlj4yuf50voko61,805,175,8,3,2,72,41,23.4,3
2025,rushing,24,Kyle Monangai,kyle-monangai,bkkk3uuouhcobydqawro,783,169,5,3,0,39,40,23.7,0
2025,rushing,25,J.K. Dobbins,j-k-dobbins,cevotvl3ho5h1mioruyg,772,153,4,5,1,41,37,24.2,0
2025,rushing,26,Jordan Mason,jordan-mason,qeeucinnxl8mpzaw23hc,758,159,6,4,0,24,45,28.3,2
2025,rushing,27,Blake Corum,blake-corum,axzqbqjkrbwfzodwwakq,746,145,6,5,1,48,44,30.3,0
2025,rushing,28,Tyrone Tracy Jr.,tyrone-tracy-jr,b9nje50lohbprf06xoom,740,176,2,3,0,31,39,22.2,0
2025,rushing,29,Zach Charbonnet,zach-charbonnet,cuuyog0lpxfaj0y0huvp,730,184,12,5,0,30,48,26.1,0
2025,rushing,30,David Montgomery,david-montgomery,csz0c9roa4pqsccothxg,716,158,8,3,1,72,41,26,2
2025,rushing,31,Woody Marks,woody-marks,y5ntpcenhhhv98uz2fys,703,196,2,2,0,23,39,19.9,1
2025,rushing,32,Kimani Vidal,kimani-vidal,tqdctdun0bv60d5ziwtl,643,155,3,4,1,59,32,20.6,1
2025,rushing,33,Kareem Hunt,kareem-hunt,hktvzf8hiupoycyg1kmc,611,163,8,1,0,33,55,33.7,2
2025,rushing,34,Rhamondre Stevenson,rhamondre-stevenson,zmpuirvuw4r04inxth5i,603,130,7,7,1,56,29,22.3,2
2025,rushing,35,Bucky Irving,bucky-irving,vkc00rvnix3f2b96vkwo,588,173,1,1,0,32,27,15.6,1
2025,rushing,36,Josh Allen,josh-allen,mjwbioajzldkq1vzoz2d,579,112,14,5,2,40,46,41.1,6
2025,rushing,37,Rachaad White,rachaad-white,wtdhs50gcl2p6vngsnre,572,132,4,2,0,39,37,28,0
2025,rushing,38,Aaron Jones,aaron-jones,bktkfvgfwujkdbzkcfim,548,132,2,1,0,31,28,21.2,0
2025,rushing,39,Omarion Hampton,omarion-hampton,lf2jxvxnbexlinoydbej,545,124,4,3,1,54,31,25,0
2025,rushing,40,RJ Harvey,rj-harvey,szxmro5enrxlscvv67xg,540,146,7,3,2,50,28,19.2,1
2025,rushing,41,Kenny Gainwell,kenneth-gainwell,eo62l8ec8e3lzt86ihth,537,114,5,2,1,55,34,29.8,1
2025,rushing,42,Tyler Allgeier,tyler-allgeier,sp9lhhmpv4qy3xy2msxd,514,143,8,1,0,21,36,25.2,0
2025,rushing,43,Chuba Hubbard,chuba-hubbard,rzsvnt0pxsaize2ndhxm,511,134,1,0,0,14,31,23.1,1
2025,rushing,44,Nick Chubb,nick-chubb,h5y74trx6l8ivpkbmrkt,506,122,3,3,0,30,20,16.4,0
2025,rushing,45,Chris Rodriguez Jr.,chris-rodriguez-jr,pknd5uajvpvfd8c744im,500,112,6,2,1,48,32,28.6,0
2025,rushing,46,Justin Herbert,justin-herbert,jnkspnntgebegzp4ghve,498,83,2,5,1,41,34,41,4
2025,rushing,47,Emanuel Wilson,emanuel-wilson,uorruvczsxzvffpbxu8z,496,125,3,0,0,15,32,25.6,0
2025,rushing,48,Jaxson Dart,jaxson-dart,n6uymxssgiicjmxkzxoc,487,86,9,4,0,29,38,44.2,3
2025,rushing,49,Alvin Kamara,alvin-kamara,yxebpuskandivlh2iil4,471,131,1,0,0,18,21,16,1
2025,rushing,50,Isiah Pacheco,isiah-pacheco,hkqb4imkum3vxxkwuetl,462,118,1,0,0,16,27,22.9,0
2025,rushing,51,Drake Maye,drake-maye,s1nmoon2xnrc3bnyulv4,450,103,4,2,0,28,38,36.9,3
2025,rushing,52,Devin Singletary,devin-singletary,xy2r2msxjqneml2c1cdc,437,119,5,2,0,29,27,22.7,0
2025,rushing,53,Patrick Mahomes,patrick-mahomes,wdckwtob1lybvkmxnf7p,422,64,5,1,0,22,27,42.2,0
2025,rushing,54,Jalen Hurts,jalen-hurts,xow5yvxjeqa6witmofmp,421,105,8,2,0,29,40,38.1,4
2025,rushing,55,Cam Skattebo,cam-skattebo,hlggiqdfvj1f4kntkafr,410,101,5,1,0,24,27,26.7,1
