season,team,team_name,nickname,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
2025,ATL,Atlanta Falcons,Falcons,218,87,32,19,179,54.1,120,25.8,1094
2025,AZ,Arizona Cardinals,Cardinals,209,90,25,12,215,57.3,134,27.4,1133
2025,BAL,Baltimore Ravens,Ravens,230,87,41,23,198,49.6,109,25.1,1130
2025,BUF,Buffalo Bills,Bills,203,84,19,10,144,52,130,28.9,975
2025,CAR,Carolina Panthers,Panthers,210,99,22,14,180,53.6,121,25.3,1049
2025,CHI,Chicago Bears,Bears,191,78,23,11,190,53.5,125,27.4,1056
2025,CIN,Cincinnati Bengals,Bengals,205,89,27,18,201,57.8,130,27.1,1073
2025,CLE,Cleveland Browns,Browns,226,82,18,7,161,52.3,102,21.5,1048
2025,DAL,Dallas Cowboys,Cowboys,201,95,21,13,208,54.6,136,30.1,1077
2025,DEN,Denver Broncos,Broncos,237,80,27,14,171,49.8,85,21.2,1100
2025,DET,Detroit Lions,Lions,214,79,32,21,193,56.4,99,22.2,1080
2025,GB,Green Bay Packers,Packers,218,86,36,20,178,49.4,120,25.2,1094
2025,HOU,Houston Texans,Texans,221,80,21,10,162,50.8,80,20,1012
2025,IND,Indianapolis Colts,Colts,219,93,28,15,216,54.4,123,27.5,1158
2025,JAX,Jacksonville Jaguars,Jaguars,218,88,31,11,197,49.8,85,23,1060
2025,KC,Kansas City Chiefs,Chiefs,225,98,23,6,158,46.5,103,23,1024
2025,LA,Los Angeles Rams,Rams,226,82,42,23,192,50.9,106,24.3,1104
2025,LAC,Los Angeles Chargers,Chargers,199,70,25,13,151,49.2,104,25,1003
2025,LV,Las Vegas Raiders,Raiders,229,106,21,13,175,48.8,126,24.7,1105
2025,MIA,Miami Dolphins,Dolphins,208,83,28,20,186,50.1,119,25.4,1053
2025,MIN,Minnesota Vikings,Vikings,223,77,24,16,132,47.3,144,27.2,1070
2025,NE,New England Patriots,Patriots,200,77,30,10,171,48.9,104,25.3,996
2025,NO,New Orleans Saints,Saints,213,73,34,18,162,51.9,122,23.6,1092
2025,NYG,New York Giants,Giants,199,78,22,16,195,54.5,131,28.2,1092
2025,NYJ,New York Jets,Jets,212,79,22,16,205,61,133,24.7,1121
2025,PHI,Philadelphia Eagles,Eagles,227,92,29,11,157,50.8,133,26.9,1114
2025,PIT,Pittsburgh Steelers,Steelers,236,98,38,28,202,51,122,27,1149
2025,SEA,Seattle Seahawks,Seahawks,234,75,45,23,176,46.9,83,19.9,1096
2025,SF,San Francisco 49ers,49ers,192,77,22,12,199,50,115,27.1,1061
2025,TB,Tampa Bay Buccaneers,Buccaneers,200,79,30,14,206,54.4,86,21.7,1031
2025,TEN,Tennessee Titans,Titans,204,81,16,12,195,55.1,107,23.6,1045
2025,WAS,Washington Commanders,Commanders,213,88,32,20,216,61.7,130,25.8,1122
