season,team,team_name,nickname,FF,FR,FR TD,Rec FUM,Rush FUM
2025,ATL,Atlanta Falcons,Falcons,12,7,0,5,5
2025,AZ,Arizona Cardinals,Cardinals,13,9,2,4,6
2025,BAL,Baltimore Ravens,Ravens,14,9,1,2,8
2025,BUF,Buffalo Bills,Bills,13,7,1,3,5
2025,CAR,Carolina Panthers,Panthers,9,6,0,2,5
2025,CHI,Chicago Bears,Bears,12,8,0,2,9
2025,CIN,Cincinnati Bengals,Bengals,11,7,0,4,4
2025,CLE,Cleveland Browns,Browns,15,7,1,3,10
2025,DAL,Dallas Cowboys,Cowboys,11,6,0,3,4
2025,DEN,Denver Broncos,Broncos,9,4,0,2,2
2025,DET,Detroit Lions,Lions,15,6,0,7,5
2025,GB,Green Bay Packers,Packers,8,7,0,1,4
2025,HOU,Houston Texans,Texans,14,10,3,5,4
2025,IND,Indianapolis Colts,Colts,10,7,0,2,5
2025,JAX,Jacksonville Jaguars,Jaguars,11,9,0,4,4
2025,KC,Kansas City Chiefs,Chiefs,8,4,0,4,5
2025,LA,Los Angeles Rams,Rams,12,9,0,8,2
2025,LAC,Los Angeles Chargers,Chargers,10,4,0,1,4
2025,LV,Las Vegas Raiders,Raiders,10,8,0,3,7
2025,MIA,Miami Dolphins,Dolphins,11,11,0,3,7
2025,MIN,Minnesota Vikings,Vikings,18,12,1,5,10
2025,NE,New England Patriots,Patriots,10,9,1,5,5
2025,NO,New Orleans Saints,Saints,11,9,2,2,8
2025,NYG,New York Giants,Giants,9,5,1,2,4
2025,NYJ,New York Jets,Jets,9,4,0,1,9
2025,PHI,Philadelphia Eagles,Eagles,12,8,0,1,11
2025,PIT,Pittsburgh Steelers,Steelers,17,11,2,2,9
2025,SEA,Seattle Seahawks,Seahawks,9,7,2,3,3
2025,SF,San Francisco 49ers,49ers,13,10,0,5,6
2025,TB,Tampa Bay Buccaneers,Buccaneers,12,10,0,5,9
2025,TEN,Tennessee Titans,Titans,7,7,1,2,3
2025,WAS,Washington Commanders,Commanders,11,2,0,3,6
