season,team,team_name,nickname,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Lng_num,Lng_td,Sck
2025,ATL,Atlanta Falcons,Falcons,529,331,62.6,7.1,3773,27,16,88.4,179,33.8,49,7,58,58,False,57
2025,AZ,Arizona Cardinals,Cardinals,572,375,65.6,7.2,4128,31,10,97.6,215,37.6,52,6,67,67,False,30
2025,BAL,Baltimore Ravens,Ravens,625,399,63.8,7,4403,23,11,89.6,198,31.7,64,9,62,62,False,30
2025,BUF,Buffalo Bills,Bills,464,277,59.7,6.2,2894,19,13,79.8,144,31,38,1,40,40,False,36
2025,CAR,Carolina Panthers,Panthers,507,336,66.3,7.2,3657,20,15,88.2,180,35.5,42,9,62T,62,True,30
2025,CHI,Chicago Bears,Bears,533,355,66.6,7.6,4067,32,23,91.4,190,35.6,61,9,64,64,False,35
2025,CIN,Cincinnati Bengals,Bengals,534,348,65.2,7.8,4175,33,13,99.4,201,37.6,60,5,68T,68,True,35
2025,CLE,Cleveland Browns,Browns,487,308,63.2,6.6,3220,25,11,90,161,33.1,43,6,45,45,False,53
2025,DAL,Dallas Cowboys,Cowboys,556,381,68.5,8.1,4521,35,6,109.6,208,37.4,58,14,65T,65,True,35
2025,DEN,Denver Broncos,Broncos,593,343,57.8,6.1,3606,18,10,78.7,171,28.8,40,10,63,63,False,68
2025,DET,Detroit Lions,Lions,555,342,61.6,7.3,4027,31,13,92.5,193,34.8,58,8,64T,64,True,49
2025,GB,Green Bay Packers,Packers,549,360,65.6,6.4,3516,24,7,92.7,178,32.4,41,6,46T,46,True,36
2025,HOU,Houston Texans,Texans,538,319,59.3,6.5,3486,20,19,76.2,162,30.1,47,8,66T,66,True,47
2025,IND,Indianapolis Colts,Colts,627,397,63.3,7.1,4462,24,14,88,216,34.4,57,5,88T,88,True,39
2025,JAX,Jacksonville Jaguars,Jaguars,635,396,62.4,6.2,3933,25,22,78.6,197,31,46,6,61T,61,True,32
2025,KC,Kansas City Chiefs,Chiefs,509,340,66.8,6.8,3487,18,10,89.9,158,31,45,7,53,53,False,35
2025,LA,Los Angeles Rams,Rams,589,377,64,6.8,3988,26,16,87,192,32.6,53,5,75,75,False,47
2025,LAC,Los Angeles Chargers,Chargers,505,307,60.8,6.6,3314,16,19,75,151,29.9,37,7,75T,75,True,45
2025,LV,Las Vegas Raiders,Raiders,524,359,68.5,7,3644,23,8,96.4,175,33.4,37,9,66T,66,True,37
2025,MIA,Miami Dolphins,Dolphins,515,371,72,7.6,3920,29,9,105.3,186,36.1,51,3,59,59,False,39
2025,MIN,Minnesota Vikings,Vikings,447,279,62.4,6.8,3021,15,8,86,132,29.5,32,5,80T,80,True,49
2025,NE,New England Patriots,Patriots,527,350,66.4,6.7,3512,25,10,93.1,171,32.4,42,3,53,53,False,35
2025,NO,New Orleans Saints,Saints,491,312,63.5,6.8,3336,25,10,91.8,162,33,44,7,53T,53,True,45
2025,NYG,New York Giants,Giants,550,358,65.1,7.1,3908,25,9,94.3,195,35.4,49,3,87T,87,True,39
2025,NYJ,New York Jets,Jets,515,336,65.2,7.5,3849,36,0,110.9,205,39.8,57,6,46,46,False,26
2025,PHI,Philadelphia Eagles,Eagles,544,309,56.8,6.4,3476,14,12,75.4,157,28.9,46,13,77T,77,True,42
2025,PIT,Pittsburgh Steelers,Steelers,613,396,64.6,7.2,4437,30,15,92.2,202,33,53,7,81,81,False,48
2025,SEA,Seattle Seahawks,Seahawks,600,375,62.5,6,3619,20,18,77.9,176,29.3,44,7,65,65,False,47
2025,SF,San Francisco 49ers,49ers,584,398,68.2,7,4110,29,6,100.5,199,34.1,45,5,50,50,False,20
2025,TB,Tampa Bay Buccaneers,Buccaneers,568,379,66.7,7.6,4332,30,13,97.5,206,36.3,55,10,72T,72,True,37
2025,TEN,Tennessee Titans,Titans,514,354,68.9,8.2,4221,30,6,108.3,195,37.9,58,9,63T,63,True,42
2025,WAS,Washington Commanders,Commanders,540,350,64.8,8.1,4371,33,8,104,216,40,53,13,86T,86,True,42
