season,team,team_name,nickname,FR TD,SFTY,INT TD
2025,ATL,Atlanta Falcons,Falcons,0,0,1
2025,AZ,Arizona Cardinals,Cardinals,2,1,0
2025,BAL,Baltimore Ravens,Ravens,1,0,1
2025,BUF,Buffalo Bills,Bills,1,0,1
2025,CAR,Carolina Panthers,Panthers,0,0,2
2025,CHI,Chicago Bears,Bears,0,0,2
2025,CIN,Cincinnati Bengals,Bengals,0,0,1
2025,CLE,Cleveland Browns,Browns,1,0,3
2025,DAL,Dallas Cowboys,Cowboys,0,1,1
2025,DEN,Denver Broncos,Broncos,0,0,1
2025,DET,Detroit Lions,Lions,0,1,0
2025,GB,Green Bay Packers,Packers,0,0,0
2025,HOU,Houston Texans,Texans,3,0,1
2025,IND,Indianapolis Colts,Colts,0,0,1
2025,JAX,Jacksonville Jaguars,Jaguars,0,1,2
2025,KC,Kansas City Chiefs,Chiefs,0,0,0
2025,LA,Los Angeles Rams,Rams,0,0,1
2025,LAC,Los Angeles Chargers,Chargers,0,1,0
2025,LV,Las Vegas Raiders,Raiders,0,1,0
2025,MIA,Miami Dolphins,Dolphins,0,0,0
2025,MIN,Minnesota Vikings,Vikings,1,0,1
2025,NE,New England Patriots,Patriots,1,1,1
2025,NO,New Orleans Saints,Saints,2,0,1
2025,NYG,New York Giants,Giants,1,0,0
2025,NYJ,New York Jets,Jets,0,1,0
2025,PHI,Philadelphia Eagles,Eagles,0,0,1
2025,PIT,Pittsburgh Steelers,Steelers,2,1,1
2025,SEA,Seattle Seahawks,Seahawks,2,0,1
2025,SF,San Francisco 49ers,49ers,0,0,1
2025,TB,Tampa Bay Buccaneers,Buccaneers,0,1,2
2025,TEN,Tennessee Titans,Titans,1,1,1
2025,WAS,Washington Commanders,Commanders,0,1,0
