season,team,team_name,nickname,Sck,Comb,Asst,Solo
2025,ATL,Atlanta Falcons,Falcons,57,1038,423,673
2025,AZ,Arizona Cardinals,Cardinals,30,1115,515,648
2025,BAL,Baltimore Ravens,Ravens,30,1057,446,685
2025,BUF,Buffalo Bills,Bills,36,921,376,612
2025,CAR,Carolina Panthers,Panthers,30,1066,499,626
2025,CHI,Chicago Bears,Bears,35,1024,421,642
2025,CIN,Cincinnati Bengals,Bengals,35,1073,501,633
2025,CLE,Cleveland Browns,Browns,53,1070,491,611
2025,DAL,Dallas Cowboys,Cowboys,35,1054,464,654
2025,DEN,Denver Broncos,Broncos,68,1028,473,621
2025,DET,Detroit Lions,Lions,49,1001,394,674
2025,GB,Green Bay Packers,Packers,36,1097,504,638
2025,HOU,Houston Texans,Texans,47,955,418,601
2025,IND,Indianapolis Colts,Colts,39,1074,440,717
2025,JAX,Jacksonville Jaguars,Jaguars,32,989,438,601
2025,KC,Kansas City Chiefs,Chiefs,35,1026,448,638
2025,LA,Los Angeles Rams,Rams,47,1065,450,651
2025,LAC,Los Angeles Chargers,Chargers,45,937,374,626
2025,LV,Las Vegas Raiders,Raiders,37,1113,471,696
2025,MIA,Miami Dolphins,Dolphins,39,1082,474,663
2025,MIN,Minnesota Vikings,Vikings,49,1106,526,647
2025,NE,New England Patriots,Patriots,35,986,426,609
2025,NO,New Orleans Saints,Saints,45,1081,464,670
2025,NYG,New York Giants,Giants,39,1036,410,675
2025,NYJ,New York Jets,Jets,26,1108,496,662
2025,PHI,Philadelphia Eagles,Eagles,42,1034,424,677
2025,PIT,Pittsburgh Steelers,Steelers,48,1106,478,697
2025,SEA,Seattle Seahawks,Seahawks,47,1058,469,666
2025,SF,San Francisco 49ers,49ers,20,1047,475,637
2025,TB,Tampa Bay Buccaneers,Buccaneers,37,955,362,653
2025,TEN,Tennessee Titans,Titans,42,1025,422,655
2025,WAS,Washington Commanders,Commanders,42,1117,510,675
