season,team,team_name,nickname,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
2025,ATL,Atlanta Falcons,Falcons,207,69,28,14,185,55.7,113,23.7,1087
2025,AZ,Arizona Cardinals,Cardinals,224,93,28,12,216,50.6,91,24.9,1107
2025,BAL,Baltimore Ravens,Ravens,203,83,25,15,141,50.7,146,28.8,1008
2025,BUF,Buffalo Bills,Bills,210,94,32,19,196,57,146,26.7,1103
2025,CAR,Carolina Panthers,Panthers,205,74,40,27,170,51.7,109,23.6,1040
2025,CHI,Chicago Bears,Bears,227,97,29,15,190,56.9,142,28.1,1142
2025,CIN,Cincinnati Bengals,Bengals,221,96,20,14,213,51.7,102,26.8,1085
2025,CLE,Cleveland Browns,Browns,235,79,29,12,134,41.5,100,23.8,1057
2025,DAL,Dallas Cowboys,Cowboys,209,86,35,22,229,54.6,120,25.8,1162
2025,DEN,Denver Broncos,Broncos,233,96,20,10,196,50.5,111,24.3,1125
2025,DET,Detroit Lions,Lions,214,83,31,18,224,56.8,105,23.8,1097
2025,GB,Green Bay Packers,Packers,205,100,25,14,180,54.9,124,25.2,1044
2025,HOU,Houston Texans,Texans,231,86,19,11,184,50.6,99,20.8,1140
2025,IND,Indianapolis Colts,Colts,195,83,27,18,199,55.3,122,27.6,1054
2025,JAX,Jacksonville Jaguars,Jaguars,217,85,29,17,196,57,124,25.4,1127
2025,KC,Kansas City Chiefs,Chiefs,219,82,32,24,189,52.1,122,28.4,1099
2025,LA,Los Angeles Rams,Rams,192,76,30,20,236,60.8,126,27.1,1113
2025,LAC,Los Angeles Chargers,Chargers,251,115,21,12,185,50.4,117,25.1,1136
2025,LV,Las Vegas Raiders,Raiders,213,72,32,13,161,47.4,67,18.2,975
2025,MIA,Miami Dolphins,Dolphins,192,67,23,11,174,54,104,24.1,978
2025,MIN,Minnesota Vikings,Vikings,195,62,24,15,157,52.7,102,24.9,989
2025,NE,New England Patriots,Patriots,198,85,25,18,206,57.1,128,25.9,1076
2025,NO,New Orleans Saints,Saints,223,88,34,14,183,46.1,101,23.2,1117
2025,NYG,New York Giants,Giants,224,90,39,18,160,49.5,141,27.6,1111
2025,NYJ,New York Jets,Jets,229,80,41,18,136,45.6,115,25.2,1039
2025,PHI,Philadelphia Eagles,Eagles,210,78,21,11,166,52.2,114,23.8,1038
2025,PIT,Pittsburgh Steelers,Steelers,210,84,23,12,160,43.8,109,26.8,1020
2025,SEA,Seattle Seahawks,Seahawks,206,82,12,7,179,55.1,125,24.6,1063
2025,SF,San Francisco 49ers,49ers,213,106,22,13,237,59.6,119,24.7,1119
2025,TB,Tampa Bay Buccaneers,Buccaneers,228,94,29,13,174,49.6,115,24.4,1106
2025,TEN,Tennessee Titans,Titans,232,74,35,16,156,45.9,85,22.5,1040
2025,WAS,Washington Commanders,Commanders,189,71,26,16,159,55.4,123,25.4,1020
