season,team,team_name,nickname,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Lng_num,Lng_td,Rec 1st,Rec 1st%,Rec FUM
2025,ATL,Atlanta Falcons,Falcons,332,3703,11.2,19,47,8,69T,69,True,185,55.7,4
2025,AZ,Arizona Cardinals,Cardinals,427,4354,10.2,29,49,5,50T,50,True,216,50.6,1
2025,BAL,Baltimore Ravens,Ravens,278,3278,11.8,23,43,7,64,64,False,141,50.7,6
2025,BUF,Buffalo Bills,Bills,344,3981,11.6,29,61,9,54,54,False,196,57,4
2025,CAR,Carolina Panthers,Panthers,329,3304,10,24,43,4,54,54,False,170,51.7,4
2025,CHI,Chicago Bears,Bears,334,3991,12,28,60,7,65,65,False,190,56.9,1
2025,CIN,Cincinnati Bengals,Bengals,412,4244,10.3,36,47,5,64,64,False,213,51.7,6
2025,CLE,Cleveland Browns,Browns,323,3152,9.8,16,35,7,66,66,False,134,41.5,3
2025,DAL,Dallas Cowboys,Cowboys,419,4735,11.3,31,56,12,86,86,False,229,54.6,8
2025,DEN,Denver Broncos,Broncos,388,3931,10.1,25,47,7,52,52,False,196,50.5,1
2025,DET,Detroit Lions,Lions,394,4567,11.6,35,65,8,64T,64,True,224,56.8,1
2025,GB,Green Bay Packers,Packers,328,3845,11.7,26,58,9,59T,59,True,180,54.9,3
2025,HOU,Houston Texans,Texans,364,3956,10.9,24,48,11,75,75,False,184,50.6,3
2025,IND,Indianapolis Colts,Colts,360,4085,11.4,25,44,9,75,75,False,199,55.3,3
2025,JAX,Jacksonville Jaguars,Jaguars,344,4026,11.7,29,57,6,63T,63,True,196,57,3
2025,KC,Kansas City Chiefs,Chiefs,363,3947,10.9,23,52,9,61,61,False,189,52.1,3
2025,LA,Los Angeles Rams,Rams,388,4707,12.1,46,72,8,88,88,False,236,60.8,2
2025,LAC,Los Angeles Chargers,Chargers,367,3953,10.8,26,45,8,60T,60,True,185,50.4,6
2025,LV,Las Vegas Raiders,Raiders,340,3315,9.8,20,37,3,61,61,False,161,47.4,2
2025,MIA,Miami Dolphins,Dolphins,322,3322,10.3,23,43,6,63,63,False,174,54,3
2025,MIN,Minnesota Vikings,Vikings,298,3208,10.8,18,39,5,81,81,False,157,52.7,3
2025,NE,New England Patriots,Patriots,361,4459,12.4,31,69,6,72,72,False,206,57.1,2
2025,NO,New Orleans Saints,Saints,397,4027,10.1,19,33,6,87,87,False,183,46.1,5
2025,NYG,New York Giants,Giants,323,3703,11.5,21,52,9,52,52,False,160,49.5,3
2025,NYJ,New York Jets,Jets,298,2784,9.3,15,26,3,52,52,False,136,45.6,1
2025,PHI,Philadelphia Eagles,Eagles,318,3498,11,26,42,9,79,79,False,166,52.2,2
2025,PIT,Pittsburgh Steelers,Steelers,365,3632,10,26,41,7,80,80,False,160,43.8,6
2025,SEA,Seattle Seahawks,Seahawks,325,4063,12.5,25,57,12,67,67,False,179,55.1,8
2025,SF,San Francisco 49ers,49ers,398,4318,10.8,33,51,4,56,56,False,237,59.6,3
2025,TB,Tampa Bay Buccaneers,Buccaneers,351,3755,10.7,26,55,7,77,77,False,174,49.6,1
2025,TEN,Tennessee Titans,Titans,340,3241,9.5,15,41,3,47,47,False,156,45.9,1
2025,WAS,Washington Commanders,Commanders,287,3329,11.6,19,40,8,56,56,False,159,55.4,2
