season,team,team_name,nickname,Att,Rush Yds,YPC,TD,20+,40+,Lng,Lng_num,Lng_td,Rush 1st,Rush 1st%,Rush FUM
2025,ATL,Atlanta Falcons,Falcons,477,2138,4.5,17,9,2,93,93,False,113,23.7,6
2025,AZ,Arizona Cardinals,Cardinals,366,1583,4.3,9,8,3,71,71,False,91,24.9,5
2025,BAL,Baltimore Ravens,Ravens,507,2662,5.2,23,25,6,71,71,False,146,28.8,8
2025,BUF,Buffalo Bills,Bills,547,2714,5,30,16,6,64,64,False,146,26.7,12
2025,CAR,Carolina Panthers,Panthers,461,1977,4.3,9,9,2,53,53,False,109,23.6,6
2025,CHI,Chicago Bears,Bears,505,2456,4.9,19,11,0,39,39,False,142,28.1,10
2025,CIN,Cincinnati Bengals,Bengals,381,1591,4.2,11,8,0,37T,37,True,102,26.8,4
2025,CLE,Cleveland Browns,Browns,421,1649,3.9,10,6,1,46T,46,True,100,23.8,1
2025,DAL,Dallas Cowboys,Cowboys,465,2136,4.6,18,13,3,66T,66,True,120,25.8,8
2025,DEN,Denver Broncos,Broncos,456,2018,4.4,18,11,3,50T,50,True,111,24.3,4
2025,DET,Detroit Lions,Lions,442,2041,4.6,21,14,7,78T,78,True,105,23.8,7
2025,GB,Green Bay Packers,Packers,492,2037,4.1,18,6,1,40,40,False,124,25.2,9
2025,HOU,Houston Texans,Texans,475,1852,3.9,9,8,1,50T,50,True,99,20.8,4
2025,IND,Indianapolis Colts,Colts,442,2007,4.5,27,10,4,83T,83,True,122,27.6,5
2025,JAX,Jacksonville Jaguars,Jaguars,489,1956,4,22,9,3,71T,71,True,124,25.4,4
2025,KC,Kansas City Chiefs,Chiefs,430,1812,4.2,15,3,0,35,35,False,122,28.4,5
2025,LA,Los Angeles Rams,Rams,465,2152,4.6,17,12,2,48,48,False,126,27.1,5
2025,LAC,Los Angeles Chargers,Chargers,466,2067,4.4,10,14,3,59,59,False,117,25.1,5
2025,LV,Las Vegas Raiders,Raiders,369,1317,3.6,5,5,2,64T,64,True,67,18.2,3
2025,MIA,Miami Dolphins,Dolphins,432,2044,4.7,14,16,4,59T,59,True,104,24.1,11
2025,MIN,Minnesota Vikings,Vikings,410,1841,4.5,15,7,1,65T,65,True,102,24.9,8
2025,NE,New England Patriots,Patriots,494,2191,4.4,22,16,5,69T,69,True,128,25.9,7
2025,NO,New Orleans Saints,Saints,435,1603,3.7,9,5,0,34,34,False,101,23.2,6
2025,NYG,New York Giants,Giants,511,2195,4.3,22,10,0,31T,31,True,141,27.6,5
2025,NYJ,New York Jets,Jets,456,2096,4.6,11,13,3,59,59,False,115,25.2,6
2025,PHI,Philadelphia Eagles,Eagles,478,1988,4.2,17,9,3,65T,65,True,114,23.8,4
2025,PIT,Pittsburgh Steelers,Steelers,407,1756,4.3,16,11,3,55,55,False,109,26.8,3
2025,SEA,Seattle Seahawks,Seahawks,507,2096,4.1,19,18,1,55,55,False,125,24.6,7
2025,SF,San Francisco 49ers,49ers,481,1817,3.8,15,4,1,41,41,False,119,24.7,2
2025,TB,Tampa Bay Buccaneers,Buccaneers,472,1947,4.1,13,9,1,43T,43,True,115,24.4,3
2025,TEN,Tennessee Titans,Titans,378,1589,4.2,9,10,2,65T,65,True,85,22.5,4
2025,WAS,Washington Commanders,Commanders,484,2290,4.7,20,11,5,72,72,False,123,25.4,11
