season,team,team_name,nickname,Rsh TD,Rec TD,Tot TD,2-PT
2025,ATL,Atlanta Falcons,Falcons,17,19,37,2
2025,AZ,Arizona Cardinals,Cardinals,9,29,40,1
2025,BAL,Baltimore Ravens,Ravens,23,23,48,1
2025,BUF,Buffalo Bills,Bills,30,29,62,2
2025,CAR,Carolina Panthers,Panthers,9,24,35,1
2025,CHI,Chicago Bears,Bears,19,28,49,3
2025,CIN,Cincinnati Bengals,Bengals,11,36,49,2
2025,CLE,Cleveland Browns,Browns,10,16,30,1
2025,DAL,Dallas Cowboys,Cowboys,18,31,51,3
2025,DEN,Denver Broncos,Broncos,18,25,45,4
2025,DET,Detroit Lions,Lions,21,35,57,1
2025,GB,Green Bay Packers,Packers,18,26,44,2
2025,HOU,Houston Texans,Texans,9,24,38,1
2025,IND,Indianapolis Colts,Colts,27,25,53,2
2025,JAX,Jacksonville Jaguars,Jaguars,22,29,55,1
2025,KC,Kansas City Chiefs,Chiefs,15,23,38,2
2025,LA,Los Angeles Rams,Rams,17,46,65,0
2025,LAC,Los Angeles Chargers,Chargers,10,26,36,1
2025,LV,Las Vegas Raiders,Raiders,5,20,25,1
2025,MIA,Miami Dolphins,Dolphins,14,23,38,1
2025,MIN,Minnesota Vikings,Vikings,15,18,35,2
2025,NE,New England Patriots,Patriots,22,31,58,3
2025,NO,New Orleans Saints,Saints,9,19,31,1
2025,NYG,New York Giants,Giants,22,21,45,3
2025,NYJ,New York Jets,Jets,11,15,30,6
2025,PHI,Philadelphia Eagles,Eagles,17,26,46,1
2025,PIT,Pittsburgh Steelers,Steelers,16,26,45,1
2025,SEA,Seattle Seahawks,Seahawks,19,25,51,3
2025,SF,San Francisco 49ers,49ers,15,33,49,2
2025,TB,Tampa Bay Buccaneers,Buccaneers,13,26,41,2
2025,TEN,Tennessee Titans,Titans,9,15,28,0
2025,WAS,Washington Commanders,Commanders,20,19,41,3
