season,team,team_name,nickname,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
2025,ATL,Atlanta Falcons,Falcons,84,5142,23,27.4,55,30,1,0,5,1
2025,AZ,Arizona Cardinals,Cardinals,82,4868,20,24.4,56,28.7,3,0,3,0
2025,BAL,Baltimore Ravens,Ravens,94,5512,10,10.6,75,25.2,1,0,8,0
2025,BUF,Buffalo Bills,Bills,96,5690,11,11.5,81,26.1,2,0,2,0
2025,CAR,Carolina Panthers,Panthers,73,4195,10,13.7,60,22.6,2,1,1,0
2025,CHI,Chicago Bears,Bears,96,5785,22,22.9,69,26.5,2,1,3,1
2025,CIN,Cincinnati Bengals,Bengals,89,5373,11,12.4,75,26.3,3,1,0,0
2025,CLE,Cleveland Browns,Browns,68,3998,13,19.1,52,27.8,3,1,0,1
2025,DAL,Dallas Cowboys,Cowboys,101,6071,17,16.8,79,25.7,1,0,4,0
2025,DEN,Denver Broncos,Broncos,88,5506,21,23.9,65,27.6,0,0,2,0
2025,DET,Detroit Lions,Lions,99,6058,17,17.2,77,26,1,0,5,0
2025,GB,Green Bay Packers,Packers,85,5337,20,23.5,64,25.8,0,0,1,0
2025,HOU,Houston Texans,Texans,96,6026,24,25,71,26.7,0,0,1,1
2025,IND,Indianapolis Colts,Colts,101,5925,6,5.9,89,25.6,3,0,3,0
2025,JAX,Jacksonville Jaguars,Jaguars,97,5996,37,38.1,56,27.2,1,0,3,0
2025,KC,Kansas City Chiefs,Chiefs,87,5302,13,14.9,71,25.6,1,0,2,0
2025,LA,Los Angeles Rams,Rams,103,6430,59,57.3,43,19.5,0,0,1,0
2025,LAC,Los Angeles Chargers,Chargers,90,5566,16,17.8,71,27.7,0,0,3,0
2025,LV,Las Vegas Raiders,Raiders,63,3692,11,17.5,47,28,3,0,2,1
2025,MIA,Miami Dolphins,Dolphins,79,4728,14,17.7,61,26.8,2,0,2,1
2025,MIN,Minnesota Vikings,Vikings,83,5048,15,18.1,65,26.5,1,0,2,0
2025,NE,New England Patriots,Patriots,96,5799,25,26,68,25.3,1,0,2,0
2025,NO,New Orleans Saints,Saints,76,4567,25,32.9,46,27.5,2,1,4,0
2025,NYG,New York Giants,Giants,86,5152,14,16.3,65,24.6,2,0,5,0
2025,NYJ,New York Jets,Jets,72,4199,10,13.9,56,26.3,4,0,2,0
2025,PHI,Philadelphia Eagles,Eagles,82,4893,13,15.8,67,24,1,0,1,0
2025,PIT,Pittsburgh Steelers,Steelers,88,5262,7,8,76,25.2,2,0,3,0
2025,SEA,Seattle Seahawks,Seahawks,103,6340,18,17.5,81,24,0,0,3,0
2025,SF,San Francisco 49ers,49ers,96,5838,22,22.9,72,25.5,1,0,1,0
2025,TB,Tampa Bay Buccaneers,Buccaneers,84,5065,21,25,60,28.2,2,0,1,0
2025,TEN,Tennessee Titans,Titans,72,4318,17,23.6,48,24.9,3,0,4,0
2025,WAS,Washington Commanders,Commanders,76,4483,14,18.4,55,23.6,4,0,3,0
