season,team,team_name,nickname,Avg,Ret,Yds,PRet T,20+,40+,Lng,Lng_num,Lng_td,FC,FUM,P Blk
2025,ATL,Atlanta Falcons,Falcons,7,24,168,0,0,0,17,17,False,16,2,1
2025,AZ,Arizona Cardinals,Cardinals,11.4,19,217,0,3,1,40,40,False,5,0,0
2025,BAL,Baltimore Ravens,Ravens,12.4,16,198,0,2,0,35,35,False,8,1,1
2025,BUF,Buffalo Bills,Bills,6.5,30,194,0,1,0,28,28,False,14,2,0
2025,CAR,Carolina Panthers,Panthers,7.3,24,176,0,0,0,16,16,False,14,1,0
2025,CHI,Chicago Bears,Bears,11,21,231,0,1,0,22,22,False,16,0,0
2025,CIN,Cincinnati Bengals,Bengals,9.6,23,220,0,3,1,43,43,False,16,0,0
2025,CLE,Cleveland Browns,Browns,7.2,32,232,0,1,1,44,44,False,27,5,0
2025,DAL,Dallas Cowboys,Cowboys,6.3,13,82,0,0,0,19,19,False,15,1,1
2025,DEN,Denver Broncos,Broncos,14.2,34,481,1,7,2,70,70,False,25,2,1
2025,DET,Detroit Lions,Lions,8.3,35,291,1,3,1,65T,65,True,14,0,0
2025,GB,Green Bay Packers,Packers,5.6,26,146,0,1,0,20,20,False,10,1,0
2025,HOU,Houston Texans,Texans,10.6,34,360,0,4,2,53,53,False,19,0,1
2025,IND,Indianapolis Colts,Colts,9.1,22,201,0,3,0,24,24,False,13,1,1
2025,JAX,Jacksonville Jaguars,Jaguars,13.7,26,356,2,3,3,87T,87,True,15,2,0
2025,KC,Kansas City Chiefs,Chiefs,8.1,32,259,0,4,1,44,44,False,16,2,0
2025,LA,Los Angeles Rams,Rams,9.2,28,259,0,3,0,31,31,False,23,0,0
2025,LAC,Los Angeles Chargers,Chargers,6.5,21,136,0,1,0,33,33,False,25,0,0
2025,LV,Las Vegas Raiders,Raiders,6,29,173,0,1,0,25,25,False,14,1,0
2025,MIA,Miami Dolphins,Dolphins,13.3,21,279,1,2,1,74T,74,True,11,0,0
2025,MIN,Minnesota Vikings,Vikings,9.5,32,303,0,4,1,43,43,False,17,2,0
2025,NE,New England Patriots,Patriots,17.3,21,363,2,3,3,94T,94,True,20,2,0
2025,NO,New Orleans Saints,Saints,9.1,24,219,0,1,1,40,40,False,20,0,0
2025,NYG,New York Giants,Giants,8.6,26,223,0,2,0,21,21,False,15,0,0
2025,NYJ,New York Jets,Jets,13.4,34,456,2,3,2,78T,78,True,14,0,0
2025,PHI,Philadelphia Eagles,Eagles,10.9,22,239,0,1,0,22,22,False,28,3,1
2025,PIT,Pittsburgh Steelers,Steelers,8.8,28,247,0,1,0,25,25,False,10,1,0
2025,SEA,Seattle Seahawks,Seahawks,15.4,29,448,2,5,2,95,95,False,26,0,1
2025,SF,San Francisco 49ers,49ers,11.6,25,291,0,2,1,66,66,False,7,1,0
2025,TB,Tampa Bay Buccaneers,Buccaneers,11.2,26,291,0,3,2,54,54,False,15,2,0
2025,TEN,Tennessee Titans,Titans,16.6,24,399,2,6,3,90T,90,True,25,1,1
2025,WAS,Washington Commanders,Commanders,12.1,26,315,2,4,2,90T,90,True,9,3,0
